crop_name,temparature,humidity,moisture,soil_type,nitrogen,potassium,phosphorous
Maize,26.0,52.0,38.0,Sandy,37,0,0
Sugarcane,29.0,52.0,45.0,Loamy,12,0,36
Cotton,34.0,65.0,62.0,Black,7,9,30
Tobacco,32.0,62.0,34.0,Red,22,0,20
Paddy,28.0,54.0,46.0,Clayey,35,0,0
Barley,26.0,52.0,35.0,Sandy,12,10,13
Cotton,25.0,50.0,64.0,Red,9,0,10
Wheat,33.0,64.0,50.0,Loamy,41,0,0
Millets,30.0,60.0,42.0,Sandy,21,0,18
Oil seeds,29.0,58.0,33.0,Black,9,7,30
Pulses,27.0,54.0,28.0,Clayey,13,0,40
Maize,31.0,62.0,48.0,Sandy,14,15,12
Cotton,25.0,50.0,65.0,Loamy,36,0,0
Paddy,32.0,62.0,41.0,Clayey,24,0,22
Ground Nuts,26.0,52.0,31.0,Red,14,0,41
Sugarcane,31.0,62.0,49.0,Black,10,13,14
Pulses,33.0,64.0,34.0,Clayey,38,0,0
Barley,25.0,50.0,39.0,Sandy,21,0,19
Cotton,28.0,54.0,65.0,Black,39,0,0
Wheat,29.0,58.0,52.0,Loamy,13,0,36
Millets,30.0,60.0,44.0,Sandy,10,0,9
Sugarcane,34.0,65.0,53.0,Loamy,12,14,12
Tobacco,35.0,68.0,33.0,Red,11,0,37
Millets,28.0,54.0,37.0,Black,36,0,0
Paddy,33.0,64.0,39.0,Clayey,13,0,10
Maize,26.0,52.0,44.0,Sandy,23,0,20
Cotton,30.0,60.0,63.0,Red,9,9,29
Sugarcane,32.0,62.0,30.0,Loamy,38,0,0
Oil seeds,37.0,70.0,32.0,Black,12,0,39
Pulses,26.0,52.0,36.0,Clayey,14,0,13
Ground Nuts,29.0,58.0,40.0,Red,24,0,23
Sugarcane,30.0,60.0,27.0,Loamy,12,0,40
Paddy,34.0,65.0,38.0,Clayey,39,0,0
Barley,36.0,68.0,38.0,Sandy,7,9,30
Wheat,26.0,52.0,48.0,Loamy,23,0,19
Millets,28.0,54.0,35.0,Black,41,0,0
Cotton,30.0,60.0,61.0,Loamy,8,10,31
Paddy,37.0,70.0,37.0,Clayey,12,0,41
Ground Nuts,25.0,50.0,26.0,Red,15,14,11
Millets,29.0,58.0,34.0,Sandy,15,0,37
Pulses,27.0,54.0,30.0,Clayey,13,0,13
Sugarcane,30.0,60.0,58.0,Loamy,10,7,32
Tobacco,32.0,62.0,34.0,Red,22,0,24
Sugarcane,34.0,65.0,60.0,Black,35,0,0
Barley,35.0,67.0,42.0,Sandy,10,0,35
Wheat,38.0,70.0,48.0,Loamy,8,8,28
Oil seeds,26.0,52.0,32.0,Black,12,0,8
Paddy,29.0,58.0,43.0,Clayey,24,0,18
Ground Nuts,30.0,60.0,29.0,Red,41,0,0
Maize,33.0,64.0,51.0,Sandy,5,9,29
Tobacco,34.0,65.0,31.0,Red,23,0,21
Oil seeds,36.0,68.0,33.0,Black,13,0,14
Pulses,28.0,54.0,38.0,Clayey,40,0,0
Barley,30.0,60.0,47.0,Sandy,12,0,42
Cotton,31.0,62.0,63.0,Red,11,12,15
Millets,27.0,53.0,43.0,Black,23,0,24
Wheat,34.0,65.0,54.0,Loamy,38,0,0
Millets,29.0,58.0,37.0,Sandy,8,0,15
Sugarcane,25.0,50.0,56.0,Loamy,11,13,15
Ground Nuts,32.0,62.0,34.0,Red,15,0,37
Paddy,28.0,54.0,41.0,Clayey,36,0,0
Wheat,30.0,60.0,49.0,Loamy,13,0,9
Cotton,34.0,65.0,64.0,Black,24,0,20
Barley,28.0,54.0,47.0,Sandy,5,18,15
Oil seeds,27.0,53.0,35.0,Black,37,0,0
Cotton,36.0,68.0,62.0,Red,15,0,40
Sugarcane,34.0,65.0,57.0,Black,9,0,13
Sugarcane,29.0,58.0,55.0,Loamy,8,8,33
Pulses,25.0,50.0,40.0,Clayey,6,19,16
Millets,30.0,60.0,38.0,Sandy,10,0,14
Pulses,26.0,52.0,39.0,Clayey,21,0,23
Tobacco,31.0,62.0,32.0,Red,39,0,0
Wheat,34.0,65.0,48.0,Loamy,23,0,19
Oil seeds,27.0,53.0,34.0,Black,42,0,0
Ground Nuts,33.0,64.0,31.0,Red,13,0,39
Paddy,29.0,58.0,42.0,Clayey,9,10,22
Maize,30.0,60.0,47.0,Sandy,22,0,21
Sugarcane,27.0,53.0,59.0,Loamy,10,0,15
Pulses,26.0,52.0,36.0,Clayey,7,16,20
Cotton,34.0,65.0,63.0,Red,14,0,38
Paddy,28.0,54.0,43.0,Clayey,10,8,29
Millets,30.0,60.0,40.0,Sandy,41,0,0
Cotton,29.0,58.0,65.0,Black,14,0,35
Sugarcane,26.0,52.0,59.0,Loamy,11,0,9
Barley,31.0,62.0,44.0,Sandy,21,0,28
Pulses,35.0,67.0,28.0,Clayey,8,7,31
Tobacco,29.0,58.0,30.0,Red,13,17,16
Millets,27.0,53.0,30.0,Black,35,0,0
Wheat,36.0,68.0,50.0,Loamy,12,18,19
Cotton,29.0,58.0,61.0,Loamy,11,0,38
Oil seeds,30.0,60.0,26.0,Black,8,9,30
Paddy,34.0,65.0,45.0,Clayey,6,19,21
Ground Nuts,36.0,68.0,41.0,Red,41,0,0
Maize,28.0,54.0,25.0,Sandy,9,10,30
Pulses,25.0,50.0,32.0,Clayey,24,0,19
Tobacco,30.0,60.0,27.0,Red,4,17,17
Wheat,38.0,72.0,51.0,Loamy,39,0,0
Millets,36.0,60.0,43.0,Sandy,15,0,41
Sugarcane,29.0,58.0,57.0,Black,12,0,10
Cotton,27.58,59.21,31.27,Loamy,20,2,15
Millets,27.45,66.38,50.14,Black,9,12,14
Wheat,27.25,63.62,40.35,Black,28,0,22
Millets,28.84,58.91,33.06,Clayey,8,9,28
Ground Nuts,25.86,48.46,46.25,Red,40,2,0
Cotton,25.59,63.6,46.33,Clayey,11,0,11
Oil seeds,29.17,68.19,30.65,Sandy,6,4,14
Millets,36.05,73.59,58.17,Red,9,14,11
Ground Nuts,26.76,64.22,53.63,Sandy,5,8,30
Cotton,27.66,53.58,40.96,Red,41,0,3
Wheat,28.27,52.88,43.3,Black,40,0,0
Oil seeds,38.39,69.51,65.09,Clayey,8,1,16
Cotton,28.74,56.8,54.07,Loamy,15,0,35
Paddy,30.63,63.88,38.71,Loamy,19,4,28
Barley,26.02,52.46,31.12,Loamy,11,5,12
Oil seeds,34.71,64.94,52.62,Sandy,9,22,21
Oil seeds,23.71,51.25,30.5,Black,11,0,8
Maize,30.63,61.45,23.18,Black,37,2,4
Sugarcane,23.63,52.62,31.03,Clayey,12,13,13
Oil seeds,27.65,58.09,69.07,Clayey,16,3,32
Paddy,31.19,60.94,30.51,Black,12,0,36
Tobacco,37.12,72.87,47.06,Sandy,45,2,0
Pulses,33.52,60.46,47.85,Black,7,15,16
Sugarcane,29.44,59.34,55.51,Loamy,10,3,31
Cotton,33.24,69.48,65.48,Clayey,8,13,28
Tobacco,20.85,53.18,43.77,Loamy,2,20,19
Sugarcane,38.42,73.97,50.41,Loamy,11,1,36
Maize,29.04,71.09,21.12,Sandy,34,0,3
Sugarcane,23.59,55.82,62.92,Red,39,0,0
Pulses,38.56,73.46,30.62,Black,11,0,32
Cotton,30.87,63.94,46.2,Sandy,15,0,8
Maize,25.83,51.1,59.57,Sandy,38,4,0
Sugarcane,34.51,63.92,70.0,Loamy,14,0,35
Pulses,31.92,62.59,27.78,Sandy,18,0,25
Sugarcane,28.43,58.72,43.9,Sandy,13,16,11
Pulses,27.53,55.04,57.07,Sandy,4,0,14
Paddy,24.53,67.4,48.49,Red,8,9,18
Wheat,30.82,51.91,54.23,Red,15,4,33
Cotton,32.53,59.45,20.16,Loamy,9,15,16
Cotton,28.17,58.69,34.11,Sandy,12,8,33
Paddy,29.25,54.52,41.4,Clayey,35,0,0
Tobacco,22.26,51.36,48.36,Loamy,6,16,17
