Region,Year,Corn(tons/ha),Sunflower(tons/ha),Wheat(tons/ha)
Abruzzo,2024,8.2,1.99,
Adana, Mersin,2024,11.19,2.76,
Agder og Rogaland (statistical region 2016),2018,,,
Agder og Sør-Østlandet,2024,,,
Akdeniz,2024,10.5,2.84,
Albania,2024,7.12,2.04,3.93
Alentejo,2024,13.28,1.78,
Alentejo (NUTS 2021),2024,13.3,1.6,
Alföld és Észak,2024,5.71,2.66,
Algarve,2024,9.2,,
Alsace,2024,12.4,3.22,
Alsace (NUTS 2013),2024,,,
Anatoliki Makedonia, Thraki,2024,9.08,2.5,
Anatoliki Makedonia, Thraki (NUTS 2010),2024,,,
Andalucía,2024,11.65,1.25,
Ankara,2024,10.68,2.44,
Antalya, Isparta, Burdur,2024,7.28,1.02,
Aquitaine,2024,9.01,1.9,
Aquitaine (NUTS 2013),2024,,,
Aragón,2024,12.38,1.24,
Arnsberg,2024,,,
Attiki,2024,11.0,inf,
Austria,2024,9.9,2.38,5.75
Auvergne,2024,9.09,2.24,
Auvergne (NUTS 2013),2024,,,
Auvergne-Rhône-Alpes,2024,9.71,2.12,
Aydın, Denizli, Muğla,2024,8.92,2.59,
Ağrı, Kars, Iğdır, Ardahan,2024,11.33,3.56,
Baden-Württemberg,2024,10.53,2.86,
Balıkesir, Çanakkale,2024,7.98,2.15,
Basilicata,2024,4.71,1.2,
Basse-Normandie,2024,8.3,2.8,
Basse-Normandie (NUTS 2013),2024,,,
Bassin Parisien (NUTS 2013),2024,7.21,2.02,
Batı Anadolu,2024,12.08,3.37,
Batı Karadeniz,2024,6.93,2.31,
Batı Marmara,2024,7.93,1.73,
Bayern,2024,10.54,2.17,
Bedfordshire and Hertfordshire (NUTS 2021),2018,,,
Belgium,2024,8.33,,6.62
Beogradski region,2024,5.05,2.27,
Berkshire, Buckinghamshire and Oxfordshire (NUTS 2021),2018,,,
Berlin,2024,,,
Border, Midland and Western (NUTS 2013),2024,,,
Bosnia and Herzegovina,2024,6.32,2.65,4.77
Bourgogne,2024,9.02,1.95,
Bourgogne (NUTS 2013),2024,,,
Bourgogne-Franche-Comté,2024,8.87,1.94,
Brandenburg,2024,7.7,2.4,
Bratislavský kraj,2024,5.15,2.39,
Braunschweig,2024,,,
Bremen,2024,,,
Bretagne,2024,9.17,1.97,
Bretagne (NUTS 2013),2024,,,
Bucureşti-Ilfov,2024,1.23,1.05,
Budapest,2024,9.06,2.95,
Bulgaria,2024,3.25,1.77,5.93
Burgenland,2024,7.47,1.65,
Bursa, Eskişehir, Bilecik,2024,10.19,3.09,
Calabria,2024,4.47,2.6,
Campania,2024,7.11,2.53,
Canarias,2024,2.27,,
Cantabria,2024,2.57,1.67,
Castilla y León,2024,12.76,1.17,
Castilla-La Mancha,2024,12.93,0.75,
Cataluña,2024,11.19,1.57,
Centre (FR) (NUTS 2013),2024,,,
Centre — Val de Loire,2024,9.6,1.71,
Centre-Est (FR) (NUTS 2013),2024,8.66,2.46,
Centro (ES),2024,12.71,1.03,
Centro (I) (NUTS 2006),2016,,,
Centro (IT),2024,8.45,2.55,
Centro (PT),2024,9.93,1.0,
Centro (PT) (NUTS 2021),2024,7.86,2.79,
Centru,2024,4.95,2.47,
Champagne-Ardenne,2024,9.25,2.63,
Champagne-Ardenne (NUTS 2013),2024,,,
Chemnitz,2024,,,
Cheshire (NUTS 2021),2018,,,
Ciudad de Ceuta,2024,,,
Ciudad de Melilla,2024,,,
Comunidad Foral de Navarra,2024,10.71,1.45,
Comunidad de Madrid,2024,12.45,0.72,
Comunitat Valenciana,2024,8.23,0.23,
Continente,2024,9.48,2.07,
Cornwall and Isles of Scilly (NUTS 2021),2018,,,
Corse,2024,11.8,1.43,
Corse (NUTS 2013),2024,,,
Crna Gora,2024,3.68,,
Croatia,2024,7.57,2.97,5.88
Cumbria (NUTS 2021),2018,,,
Cyprus,2024,,,1.69
Czechia,2024,8.14,2.5,5.96
Danmark,2024,6.89,,
Darmstadt,2024,,,
Denmark,2024,6.89,,7.04
Derbyshire and Nottinghamshire (NUTS 2021),2018,,,
Detmold,2024,,,
Devon (NUTS 2021),2018,,,
Dolnośląskie,2024,7.35,2.66,
Dorset and Somerset (NUTS 2021),2018,,,
Doğu Karadeniz,2024,1.64,,
Doğu Marmara,2024,9.36,2.92,
Drenthe,2024,10.85,0.0,
Dresden,2024,,,
Dunántúl,2024,6.51,2.74,
Dytiki Ellada (NUTS 2010),2024,,,
Dytiki Elláda,2024,9.9,inf,
Dytiki Makedonia,2024,11.54,2.09,
Dytiki Makedonia (NUTS 2010),2024,,,
Dél-Alföld,2024,4.77,2.61,
