confidence,country,decision_source,frost_risk,hard_violations,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,point_id,rainfall_mm,score,score_band,soil_error,soil_ok,temp_std_c,weather_error,weather_ok
0.673,Belgium,rules-fallback,0.09,"[""rainfall_mm""]",51.159025,poor,Fallback to rules-based score: HTTP Error 500: Internal Server Error,27.218,4.540783,11.946,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P008,2744.5,27.218,poor,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.198,,True
0.673,Belgium,rules-fallback,0.097,"[""rainfall_mm""]",50.933161,poor,Fallback to rules-based score: HTTP Error 500: Internal Server Error,27.123,5.104505,11.925,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P010,2740.3,27.123,poor,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.326,,True
0.673,Belgium,rules-fallback,0.073,"[""rainfall_mm""]",50.779093,poor,Fallback to rules-based score: HTTP Error 500: Internal Server Error,27.045,3.190845,11.908,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P009,2576.5,27.045,poor,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,5.935,,True
0.673,Belgium,rules-fallback,0.083,"[""rainfall_mm""]",51.155498,poor,Fallback to rules-based score: HTTP Error 500: Internal Server Error,27.018,4.09018,11.902,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P005,2695.3,27.018,poor,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.09,,True
0.673,Belgium,rules-fallback,0.095,"[""rainfall_mm""]",50.797184,poor,Fallback to rules-based score: HTTP Error 500: Internal Server Error,26.33,5.386959,11.751,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P004,2968.7,26.33,poor,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.33,,True
0.673,Belgium,rules-fallback,0.082,"[""rainfall_mm""]",51.015438,poor,Fallback to rules-based score: HTTP Error 500: Internal Server Error,26.294,3.442811,11.743,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P002,2536.6,26.294,poor,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,5.914,,True
0.673,Belgium,rules-fallback,0.098,"[""rainfall_mm""]",50.493373,poor,Fallback to rules-based score: HTTP Error 500: Internal Server Error,25.424,4.151107,11.552,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P003,2867.0,25.424,poor,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.155,,True
0.673,Belgium,rules-fallback,0.103,"[""rainfall_mm""]",50.381412,poor,Fallback to rules-based score: HTTP Error 500: Internal Server Error,24.163,4.319859,11.275,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P007,2851.8,24.163,poor,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.125,,True
0.673,Belgium,rules-fallback,0.11,"[""rainfall_mm""]",50.396003,poor,Fallback to rules-based score: HTTP Error 500: Internal Server Error,22.41,5.142205,10.89,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P006,2972.1,22.41,poor,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.233,,True
0.603,Belgium,rules-fallback,0.155,"[""mean_temp_c"", ""rainfall_mm""]",49.790895,poor,Fallback to rules-based score: HTTP Error 500: Internal Server Error,6.815,5.600846,9.749,"[""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P001,3748.2,6.815,poor,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.477,,True
