confidence,country,decision_source,frost_risk,hard_violations,humidity_pct,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,point_id,rainfall_mm,score,score_band,soil_error,soil_ok,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
0.775,Belgium,rules-fallback,0.019,[],79.43,51.104263,good,"Fallback to rules-based score: Ollama server error (500) while using model 'llama3'. Try: ollama serve, then ollama pull llama3. Details: {""error"":""model requires more system memory (4.6 GiB) than is available (3.7 GiB)""}",69.294,2.537249,12.01,"[""et0_mm"", ""soil_moisture_1_3cm"", ""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P004,898.18,69.294,good,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,5.736,,True,0.001,17.234
0.775,Belgium,rules-fallback,0.04,[],77.826,51.143124,good,"Fallback to rules-based score: Ollama server error (500) while using model 'llama3'. Try: ollama serve, then ollama pull llama3. Details: {""error"":""model requires more system memory (4.6 GiB) than is available (3.7 GiB)""}",69.175,4.766893,11.943,"[""et0_mm"", ""soil_moisture_1_3cm"", ""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P010,913.832,69.175,good,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.895,,True,0.001,12.807
0.775,Belgium,rules-fallback,0.038,[],78.187,51.178318,good,"Fallback to rules-based score: Ollama server error (500) while using model 'llama3'. Try: ollama serve, then ollama pull llama3. Details: {""error"":""model requires more system memory (4.6 GiB) than is available (3.7 GiB)""}",68.742,4.712998,11.86,"[""et0_mm"", ""soil_moisture_1_3cm"", ""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P006,913.233,68.742,good,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.846,,True,0.001,12.821
0.775,Belgium,rules-fallback,0.041,[],78.488,50.79386,good,"Fallback to rules-based score: Ollama server error (500) while using model 'llama3'. Try: ollama serve, then ollama pull llama3. Details: {""error"":""model requires more system memory (4.6 GiB) than is available (3.7 GiB)""}",68.632,4.498841,11.72,"[""et0_mm"", ""soil_moisture_1_3cm"", ""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P003,904.474,68.632,good,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.771,,True,0.001,13.294
0.775,Belgium,rules-fallback,0.043,[],78.027,50.962318,good,"Fallback to rules-based score: Ollama server error (500) while using model 'llama3'. Try: ollama serve, then ollama pull llama3. Details: {""error"":""model requires more system memory (4.6 GiB) than is available (3.7 GiB)""}",67.48,4.978847,11.83,"[""et0_mm"", ""soil_moisture_1_3cm"", ""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P001,932.748,67.48,good,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.873,,True,0.001,12.751
0.775,Belgium,rules-fallback,0.042,[],77.497,51.099784,good,"Fallback to rules-based score: Ollama server error (500) while using model 'llama3'. Try: ollama serve, then ollama pull llama3. Details: {""error"":""model requires more system memory (4.6 GiB) than is available (3.6 GiB)""}",67.249,5.172048,11.938,"[""et0_mm"", ""soil_moisture_1_3cm"", ""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P007,946.669,67.249,good,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.947,,True,0.001,12.825
0.775,Belgium,rules-fallback,0.042,[],77.772,51.097238,good,"Fallback to rules-based score: Ollama server error (500) while using model 'llama3'. Try: ollama serve, then ollama pull llama3. Details: {""error"":""model requires more system memory (4.6 GiB) than is available (3.6 GiB)""}",66.465,5.056954,11.889,"[""et0_mm"", ""soil_moisture_1_3cm"", ""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P005,954.328,66.465,good,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.923,,True,0.001,12.682
0.775,Belgium,rules-fallback,0.057,[],81.353,50.265938,good,"Fallback to rules-based score: Ollama server error (500) while using model 'llama3'. Try: ollama serve, then ollama pull llama3. Details: {""error"":""model requires more system memory (4.6 GiB) than is available (3.7 GiB)""}",60.126,4.524704,10.698,"[""et0_mm"", ""soil_moisture_1_3cm"", ""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P009,959.024,60.126,good,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.691,,True,0.001,13.924
0.775,Belgium,rules-fallback,0.064,[],82.244,49.954853,fair,"Fallback to rules-based score: Ollama server error (500) while using model 'llama3'. Try: ollama serve, then ollama pull llama3. Details: {""error"":""model requires more system memory (4.6 GiB) than is available (3.7 GiB)""}",47.046,4.354625,10.356,"[""et0_mm"", ""soil_moisture_1_3cm"", ""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P002,1141.491,47.046,fair,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.704,,True,0.002,15.379
0.705,Belgium,rules-fallback,0.079,"[""mean_temp_c""]",81.081,50.572737,poor,"Fallback to rules-based score: Ollama server error (500) while using model 'llama3'. Try: ollama serve, then ollama pull llama3. Details: {""error"":""model requires more system memory (4.6 GiB) than is available (3.7 GiB)""}",29.517,6.058716,9.684,"[""et0_mm"", ""soil_moisture_1_3cm"", ""soil_ph"", ""soil_organic_carbon_gkg"", ""clay_pct"", ""sand_pct""]",P008,1280.797,29.517,poor,Request failed after retries: HTTP Error 503: Service Temporarily Unavailable,False,6.811,,True,0.003,15.347
