clay_pct,country,frost_risk,humidity_pct,lat,lon,mean_temp_c,point_id,rainfall_mm,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
18.4,Belgium,0.0,62.429,50.962318,4.978847,11.413,P001,101.105,,True,15.08,6.48,4.18,,True,0.0,12.613
22.9,Belgium,0.0,62.333,49.954853,4.354625,10.735,P002,65.7,,True,16.646,8.02,4.258,,True,0.0,12.129
18.4,Belgium,0.0,62.788,50.79386,4.498841,11.465,P003,104.025,,True,15.08,6.48,4.195,,True,0.0,11.863
18.4,Belgium,0.0,69.079,51.104263,2.537249,11.357,P004,14.965,,True,15.08,6.48,2.446,,True,0.0,17.25
18.4,Belgium,0.0,61.283,51.097238,5.056954,11.47,P005,83.585,,True,15.08,6.48,4.139,,True,0.0,12.467
18.4,Belgium,0.0,60.888,51.178318,4.712998,11.549,P006,79.935,,True,15.08,6.48,4.1,,True,0.0,12.658
18.4,Belgium,0.0,60.712,51.099784,5.172048,11.414,P007,92.71,,True,15.08,6.48,4.129,,True,0.0,12.363
17.8,Belgium,0.0,62.496,50.572737,6.058716,9.801,P008,370.84,,True,13.804,5.63,3.942,,True,0.0,12.829
18.4,Belgium,0.0,63.638,50.265938,4.524704,10.926,P009,67.525,,True,15.08,6.48,4.292,,True,0.0,12.392
18.4,Belgium,0.0,61.246,51.143124,4.766893,11.572,P010,93.805,,True,15.08,6.48,4.11,,True,0.0,12.742
