clay_pct,confidence,country,decision_source,frost_risk,hard_violations,humidity_pct,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
18.4,0.817,Belgium,rules,0.0,"[""rainfall_mm""]",61.246,51.143124,,,,4.766893,11.572,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P010,93.805,0.173,low,balanced climate and stress indicators,"Best-ranked site P010 for corn scores 57.5% (fair), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 82% here).

What looks strong: Soil pH (6.48) is within the ideal band (5.8–7.2) for corn. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.12) for corn. Soil organic carbon (15.1 g/kg) is within the ideal band (11–28) for corn. Clay content (18.4%) is within the ideal band (12–38) for corn. Relative humidity (61.2%) is within the ideal band (45–75) for corn. Wind speed (12.7 km/h) is within the ideal band (2–16) for corn. Severe-weather stress (0.0% of hours with severe weather codes) is within the ideal band (0–0.07) for corn.

What is acceptable but not ideal: Mean temperature is 11.6 °C, below the ideal range (18–27) but still inside acceptable bounds (10–35), so growth potential may be reduced.

What works against the site: Rainfall is 94 mm (annualized), outside the viable range (250–1300) for corn (ideal 450–900). This heavily penalizes suitability.

Data limitations: no values for Reference evapotranspiration (ET0), Surface soil moisture, Sand content. Those gaps reduce confidence and apply a scoring penalty.",57.499,fair,,True,15.08,6.48,4.11,,True,0.0,12.742
18.4,0.817,Belgium,rules,0.0,"[""rainfall_mm""]",60.888,51.178318,,,,4.712998,11.549,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P006,79.935,0.172,low,balanced climate and stress indicators,,57.443,fair,,True,15.08,6.48,4.1,,True,0.0,12.658
18.4,0.817,Belgium,rules,0.0,"[""rainfall_mm""]",61.283,51.097238,,,,5.056954,11.47,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P005,83.585,0.171,low,balanced climate and stress indicators,,57.253,fair,,True,15.08,6.48,4.139,,True,0.0,12.467
18.4,0.817,Belgium,rules,0.0,"[""rainfall_mm""]",62.788,50.79386,,,,4.498841,11.465,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P003,104.025,0.168,low,balanced climate and stress indicators,,57.241,fair,,True,15.08,6.48,4.195,,True,0.0,11.863
18.4,0.817,Belgium,rules,0.0,"[""rainfall_mm""]",60.712,51.099784,,,,5.172048,11.414,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P007,92.71,0.171,low,balanced climate and stress indicators,,57.119,fair,,True,15.08,6.48,4.129,,True,0.0,12.363
18.4,0.817,Belgium,rules,0.0,"[""rainfall_mm""]",62.429,50.962318,,,,4.978847,11.413,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P001,101.105,0.172,low,balanced climate and stress indicators,,57.116,fair,,True,15.08,6.48,4.18,,True,0.0,12.613
18.4,0.817,Belgium,rules,0.0,"[""rainfall_mm""]",69.079,51.104263,,,,2.537249,11.357,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P004,14.965,0.199,low,balanced climate and stress indicators,,56.794,fair,,True,15.08,6.48,2.446,,True,0.0,17.25
18.4,0.817,Belgium,rules,0.0,"[""rainfall_mm""]",63.638,50.265938,,,,4.524704,10.926,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P009,67.525,0.171,low,balanced climate and stress indicators,,55.945,fair,,True,15.08,6.48,4.292,,True,0.0,12.392
22.9,0.747,Belgium,rules,0.0,"[""rainfall_mm"", ""soil_ph""]",62.333,49.954853,,,,4.354625,10.735,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P002,65.7,0.169,low,balanced climate and stress indicators,,33.051,poor,,True,16.646,8.02,4.258,,True,0.0,12.129
17.8,0.817,Belgium,llm,0.0,"[""mean_temp_c""]",62.496,50.572737,poor,"Crop suitability for corn is poor. The strongest limiting factor is critically low annual rainfall (370.84 mm), far below corn's typical water requirements, necessitating extensive irrigation. While the 0% frost risk is a strong positive, the mean temperature (9.8°C) suggests a potentially cool growing season, limiting heat units. Soil pH (5.63) is slightly acidic but manageable. Operational risks include severe water stress and suboptimal maturity. Mitigation requires significant irrigation infrastructure, selecting early-maturing, drought-tolerant varieties, and soil pH adjustment. Without substantial water management, yields will be severely compromised.",25.0,6.058716,9.801,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P008,370.84,0.173,low,balanced climate and stress indicators,,25.0,poor,,True,13.804,5.63,3.942,,True,0.0,12.829
