clay_pct,country,frost_risk,humidity_pct,lat,lon,mean_temp_c,point_id,rainfall_mm,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
26.4,Romania,0.042,68.312,47.529736,23.649531,5.572,P001,937.32,,True,17.98,6.52,4.047,,True,0.0,9.225
35.9,Romania,0.0,67.525,44.789264,27.811216,8.975,P002,2354.615,,True,26.738,7.0,4.06,,True,0.0,12.608
32.1,Romania,0.0,65.608,45.390436,27.740788,8.855,P003,1551.25,,True,24.998,7.34,4.195,,True,0.0,12.858
27.5,Romania,0.158,70.833,45.966199,25.688089,3.855,P004,1253.41,,True,21.576,7.14,4.027,,True,0.0,9.642
29.7,Romania,0.0,66.629,46.059894,21.497949,8.03,P005,1272.755,,True,26.39,7.39,4.21,,True,0.0,9.604
33.4,Romania,0.0,62.612,44.524991,23.047581,8.801,P006,1099.38,,True,23.49,6.9,4.285,,True,0.0,11.3
34.4,Romania,0.0,66.908,44.831029,26.840312,8.84,P007,1827.555,,True,26.042,7.06,4.202,,True,0.0,10.354
33.5,Romania,0.0,70.508,44.077028,28.09118,8.465,P008,1443.575,,True,27.898,6.6,4.083,,True,0.0,11.975
32.4,Romania,0.0,70.612,44.053106,26.047906,9.243,P009,1428.975,,True,25.056,6.93,4.151,,True,0.0,9.404
27.6,Romania,0.029,69.696,45.116836,21.902302,5.753,P010,2576.9,,True,19.604,6.22,3.839,,True,0.0,8.45
