clay_pct,confidence,country,decision_source,frost_risk,hard_violations,humidity_pct,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
33.4,0.817,Romania,rules,0.0,"[""mean_temp_c""]",62.612,44.524991,,,,23.047581,8.801,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P006,1099.38,0.165,low,balanced climate and stress indicators,"Best-ranked site P006 for corn scores 61.8% (good), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 82% here).

What looks strong: Soil pH (6.90) is within the ideal band (5.8–7.2) for corn. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.12) for corn. Soil organic carbon (23.5 g/kg) is within the ideal band (11–28) for corn. Clay content (33.4%) is within the ideal band (12–38) for corn. Relative humidity (62.6%) is within the ideal band (45–75) for corn. Wind speed (11.3 km/h) is within the ideal band (2–16) for corn. Severe-weather stress (0.0% of hours with severe weather codes) is within the ideal band (0–0.07) for corn.

What is acceptable but not ideal: Rainfall is 1099 mm (annualized), above the ideal range (450–900) but still inside acceptable bounds (250–1300), which can add stress or management needs.

What works against the site: Mean temperature is 8.8 °C, outside the viable range (10–35) for corn (ideal 18–27). This heavily penalizes suitability.

Data limitations: no values for Reference evapotranspiration (ET0), Surface soil moisture, Sand content. Those gaps reduce confidence and apply a scoring penalty.",61.761,good,,True,23.49,6.9,4.285,,True,0.0,11.3
27.5,0.817,Romania,rules,0.158,"[""mean_temp_c""]",70.833,45.966199,,,,25.688089,3.855,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P004,1253.41,0.221,low,elevated frost exposure,,53.554,fair,,True,21.576,7.14,4.027,,True,0.0,9.642
29.7,0.817,Romania,rules,0.0,"[""mean_temp_c""]",66.629,46.059894,,,,21.497949,8.03,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P005,1272.755,0.155,low,balanced climate and stress indicators,,51.381,fair,,True,26.39,7.39,4.21,,True,0.0,9.604
35.9,0.747,Romania,rules,0.0,"[""mean_temp_c"", ""rainfall_mm""]",67.525,44.789264,,,,27.811216,8.975,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P002,2354.615,0.172,low,balanced climate and stress indicators,,45.717,fair,,True,26.738,7.0,4.06,,True,0.0,12.608
34.4,0.747,Romania,rules,0.0,"[""mean_temp_c"", ""rainfall_mm""]",66.908,44.831029,,,,26.840312,8.84,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P007,1827.555,0.159,low,balanced climate and stress indicators,,45.717,fair,,True,26.042,7.06,4.202,,True,0.0,10.354
33.5,0.747,Romania,rules,0.0,"[""mean_temp_c"", ""rainfall_mm""]",70.508,44.077028,,,,28.09118,8.465,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P008,1443.575,0.168,low,balanced climate and stress indicators,,45.717,fair,,True,27.898,6.6,4.083,,True,0.0,11.975
32.4,0.747,Romania,rules,0.0,"[""mean_temp_c"", ""rainfall_mm""]",70.612,44.053106,,,,26.047906,9.243,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P009,1428.975,0.154,low,balanced climate and stress indicators,,45.717,fair,,True,25.056,6.93,4.151,,True,0.0,9.404
27.6,0.747,Romania,rules,0.029,"[""mean_temp_c"", ""rainfall_mm""]",69.696,45.116836,,,,21.902302,5.753,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P010,2576.9,0.16,low,balanced climate and stress indicators,,45.717,fair,,True,19.604,6.22,3.839,,True,0.0,8.45
32.1,0.747,Romania,rules,0.0,"[""mean_temp_c"", ""rainfall_mm""]",65.608,45.390436,,,,27.740788,8.855,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P003,1551.25,0.173,low,balanced climate and stress indicators,,43.191,fair,,True,24.998,7.34,4.195,,True,0.0,12.858
26.4,0.817,Romania,llm,0.042,"[""mean_temp_c""]",68.312,47.529736,poor,"Suitability for corn is poor, primarily due to the extremely low mean temperature (5.572°C), which is insufficient for corn's heat requirements and growing degree days, severely limiting its ability to mature. The strongest positive factors are the ideal soil pH (6.52) and good organic carbon content (17.98 g/kg), which are excellent for corn. Operational risks include insufficient heat units for maturity and potential late/early frosts. Mitigation involves selecting very early-maturing, cold-tolerant varieties or considering alternative crops. Good drainage is also crucial given high rainfall and clay content.",15.0,23.649531,5.572,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P001,937.32,0.17,low,balanced climate and stress indicators,,15.0,poor,,True,17.98,6.52,4.047,,True,0.0,9.225
