clay_pct,confidence,country,decision_source,frost_risk,hard_violations,humidity_pct,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
29.4,0.887,Greece,rules,0.0,[],74.425,39.844627,,,,22.24175,10.821,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P002,332.88,0.125,low,balanced climate and stress indicators,"Best-ranked site P002 for wheat scores 92.8% (excellent), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 89% here).

What looks strong: Mean temperature (10.8 °C) is within the ideal band (10–21) for wheat. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.25) for wheat. Clay content (29.4%) is within the ideal band (15–35) for wheat. Wind speed (4.4 km/h) is within the ideal band (3–18) for wheat. Severe-weather stress (0.0% of hours with severe weather codes) is within the ideal band (0–0.08) for wheat.

What is acceptable but not ideal: Rainfall is 333 mm (annualized), below the ideal range (350–800) but still inside acceptable bounds (220–1200), so growth potential may be reduced. Soil pH is 7.45, above the ideal range (6–7.4) but still inside acceptable bounds (5–8.4), which can add stress or management needs. Soil organic carbon is 9.6 g/kg, below the ideal range (10–25) but still inside acceptable bounds (4–45), so growth potential may be reduced. Relative humidity is 74.4%, above the ideal range (45–72) but still inside acceptable bounds (30–90), which can add stress or management needs.

Data limitations: no values for Reference evapotranspiration (ET0), Surface soil moisture, Sand content. Those gaps reduce confidence and apply a scoring penalty.",92.782,excellent,,True,9.628,7.45,3.914,,True,0.0,4.396
29.4,0.887,Greece,rules,0.0,[],66.083,40.421624,,,,23.391652,11.22,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P004,387.63,0.147,low,balanced climate and stress indicators,,91.043,excellent,,True,6.786,7.08,3.464,,True,0.0,8.162
28.4,0.887,Greece,rules,0.0,[],64.971,40.825253,,,,22.382619,11.826,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P001,665.395,0.132,low,balanced climate and stress indicators,,90.72,excellent,,True,6.612,7.03,4.362,,True,0.0,5.583
28.4,0.887,Greece,rules,0.0,[],66.612,40.517276,,,,22.205909,11.333,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P009,474.5,0.128,low,balanced climate and stress indicators,,90.72,excellent,,True,6.612,7.03,4.083,,True,0.0,4.817
27.1,0.887,Greece,rules,0.1,[],66.954,39.835781,,,,21.230023,5.887,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P008,375.585,0.181,low,balanced climate and stress indicators,,80.774,excellent,,True,6.786,7.26,4.312,,True,0.0,6.875
28.1,0.887,Greece,rules,0.0,[],72.75,37.669494,,,,22.251409,7.713,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P005,222.65,0.142,low,balanced climate and stress indicators,,73.462,good,,True,10.208,7.53,3.573,,True,0.0,7.271
28.1,0.817,Greece,rules,0.0,"[""rainfall_mm""]",65.554,35.393313,,,,23.71106,13.428,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P003,172.28,0.178,low,balanced climate and stress indicators,,71.047,good,,True,10.208,7.53,2.15,,True,0.0,13.588
28.1,0.817,Greece,rules,0.0,"[""rainfall_mm""]",72.763,36.939395,,,,22.781819,12.12,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P006,193.815,0.146,low,balanced climate and stress indicators,,70.845,good,,True,10.208,7.53,3.257,,True,0.0,8.125
28.1,0.817,Greece,rules,0.0,"[""rainfall_mm""]",78.479,37.377784,,,,22.232631,9.457,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P010,100.01,0.144,low,balanced climate and stress indicators,,67.975,good,,True,10.208,7.53,4.019,,True,0.0,7.617
29.0,0.887,Greece,llm,0.0,[],69.646,39.242484,fair,"Suitability is fair. The strongest positive factors are the optimal soil pH (7.05) and zero frost risk, which removes a major threat to wheat. However, the strongest limiting factor is the very low annual rainfall (362.4 mm), insufficient for rainfed wheat, leading to significant water stress. Low soil organic carbon (10.96 g/kg) further limits water retention and fertility. Operational risks include drought-induced yield loss and low soil productivity. Mitigation requires supplemental irrigation, drought-tolerant varieties, conservation tillage, and organic matter enhancement. Moderate humidity also poses a fungal disease risk, necessitating resistant varieties and monitoring.",55.0,22.316482,12.262,"[""et0_mm"", ""soil_moisture_1_3cm"", ""sand_pct""]",P007,362.445,0.13,low,balanced climate and stress indicators,,55.0,fair,,True,10.962,7.05,3.957,,True,0.0,5.263
