clay_pct,country,frost_risk,humidity_pct,lat,lon,mean_temp_c,nuts_region,point_id,rainfall_mm,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
16.9,France,0.0,67.379,46.862608,5.091667,13.87,Bourgogne-Franche-Comté,P001,142.35,,True,19.836,8.2,4.501,,True,0.0,8.921
22.9,France,0.0,67.171,47.753253,4.246986,13.008,Bourgogne-Franche-Comté,P002,611.74,,True,16.646,8.02,4.532,,True,0.0,9.2
25.7,France,0.0,63.829,46.579907,5.762056,12.545,Bourgogne-Franche-Comté,P003,571.955,,True,16.008,6.9,4.378,,True,0.0,7.188
16.9,France,0.0,68.196,47.272531,3.130673,13.641,Bourgogne-Franche-Comté,P004,456.98,,True,19.836,8.2,4.606,,True,0.0,9.025
16.9,France,0.0,64.892,47.054262,4.253371,12.802,Bourgogne-Franche-Comté,P005,404.055,,True,19.836,8.2,4.594,,True,0.0,7.533
16.9,France,0.0,66.821,46.81964,4.603946,13.366,Bourgogne-Franche-Comté,P006,455.52,,True,19.836,8.2,4.377,,True,0.0,8.342
17.9,France,0.0,62.475,46.218775,4.371792,13.429,Bourgogne-Franche-Comté,P007,424.495,,True,16.82,8.01,4.362,,True,0.0,7.237
22.9,France,0.0,65.246,47.648726,5.021061,12.533,Bourgogne-Franche-Comté,P008,182.135,,True,16.646,8.02,4.176,,True,0.0,9.062
16.9,France,0.0,66.217,47.208529,5.657426,13.314,Bourgogne-Franche-Comté,P009,406.61,,True,19.836,8.2,4.497,,True,0.0,8.483
22.9,France,0.0,67.237,47.559751,4.296381,12.696,Bourgogne-Franche-Comté,P010,354.78,,True,16.646,8.02,4.589,,True,0.0,8.783
