clay_pct,confidence,country,decision_source,field_hectares_for_land_estimate,frost_risk,hard_violations,humidity_pct,land_buyout_eur_per_ha,land_buyout_field_eur,land_monthly_rent_eur,land_price_matched_region,land_value_data_year,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,nuts_region,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,rules_score_before_nuts2,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
18.7,0.817,Poland,rules,10.0,0.071,"[""mean_temp_c""]",60.688,14326.0,143260.0,7163.0,Łódzkie,2024,51.76109,,,,19.318704,5.857,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Region Centralny,P003,301.49,0.214,low,balanced climate and stress indicators,"Best-ranked site P003 for Maize scores 54.4% (fair), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 82% here).

What looks strong: Relative humidity (60.7%) is within the ideal band (46.91–70.91) for Maize. Frost exposure (7.1% of hours at or below freezing) is within the ideal band (0–0.5) for Maize. Rainfall (301 mm (annualized)) is within the ideal band (150–1400) for Maize. Soil pH (5.12) is within the ideal band (5–8.5) for Maize. Soil organic carbon (11.6 g/kg) is within the ideal band (4–50) for Maize. Wind speed (14.7 km/h) is within the ideal band (0–40) for Maize. Severe-weather stress (0.0% of hours with severe weather codes) is within the ideal band (0–0.35) for Maize.

What is acceptable but not ideal: Clay content is 18.7%, below the ideal range (30–54) but still inside acceptable bounds (0–100), so growth potential may be reduced.

What works against the site: Mean temperature is 5.9 °C, outside the viable range (12.31–48) for Maize (ideal 25.31–35.31). This heavily penalizes suitability.

Data limitations: no values for Surface soil moisture, Sand content, Reference evapotranspiration (ET0). Those gaps reduce confidence and apply a scoring penalty.",58.998,54.433,fair,,True,11.6,5.12,4.114,,True,0.0,14.662
18.7,0.817,Poland,rules,10.0,0.067,"[""mean_temp_c""]",65.05,11272.0,112720.0,5636.0,Świętokrzyskie,2024,50.597678,,,,20.656294,5.58,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Region Centralny,P004,658.095,0.213,low,balanced climate and stress indicators,,58.998,54.433,fair,,True,11.6,5.12,4.029,,True,0.0,14.787
18.7,0.817,Poland,rules,10.0,0.054,"[""mean_temp_c""]",60.346,14326.0,143260.0,7163.0,Łódzkie,2024,51.284438,,,,18.33316,6.228,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Region Centralny,P006,423.765,0.204,low,balanced climate and stress indicators,,58.998,54.433,fair,,True,11.6,5.12,4.284,,True,0.0,14.246
18.7,0.817,Poland,rules,10.0,0.058,"[""mean_temp_c""]",62.329,14326.0,143260.0,7163.0,Łódzkie,2024,51.068017,,,,19.324341,5.786,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Region Centralny,P007,485.085,0.206,low,balanced climate and stress indicators,,58.998,54.433,fair,,True,11.6,5.12,4.099,,True,0.0,14.233
18.7,0.817,Poland,rules,10.0,0.079,"[""mean_temp_c""]",61.642,14326.0,143260.0,7163.0,Łódzkie,2024,51.657448,,,,20.002101,5.588,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Region Centralny,P008,370.11,0.219,low,balanced climate and stress indicators,,58.998,54.433,fair,,True,11.6,5.12,4.126,,True,0.0,14.963
18.7,0.817,Poland,rules,10.0,0.108,"[""mean_temp_c""]",63.538,11272.0,112720.0,5636.0,Świętokrzyskie,2024,51.220978,,,,20.56392,5.048,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Region Centralny,P010,537.645,0.225,low,elevated frost exposure,,58.998,54.433,fair,,True,11.6,5.12,4.074,,True,0.0,13.975
18.4,0.817,Poland,rules,10.0,0.075,"[""mean_temp_c""]",64.221,11272.0,112720.0,5636.0,Świętokrzyskie,2024,51.003576,,,,21.438656,5.67,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Region Centralny,P009,731.095,0.216,low,balanced climate and stress indicators,,58.881,54.337,fair,,True,10.15,5.13,4.077,,True,0.0,14.804
13.2,0.817,Poland,rules,10.0,0.062,"[""mean_temp_c""]",62.442,14326.0,143260.0,7163.0,Łódzkie,2024,52.073551,,,,19.400905,5.951,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Region Centralny,P002,198.195,0.213,low,balanced climate and stress indicators,,56.863,52.682,fair,,True,12.47,5.11,4.206,,True,0.0,15.3
13.2,0.817,Poland,rules,10.0,0.075,"[""mean_temp_c""]",61.638,14326.0,143260.0,7163.0,Łódzkie,2024,51.944941,,,,19.989702,5.856,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Region Centralny,P005,292.73,0.22,low,balanced climate and stress indicators,,56.863,52.682,fair,,True,12.47,5.11,4.171,,True,0.0,15.417
18.7,0.817,Poland,llm,10.0,0.071,"[""mean_temp_c""]",64.167,11272.0,112720.0,5636.0,Świętokrzyskie,2024,50.877986,poor,"The location is poorly suited for maize. The strongest limiting factor is the extremely low mean temperature (5.59°C), indicating a very short and cool growing season, which will severely hinder growth and maturity. The acidic soil pH (5.12) is another significant limitation, restricting nutrient availability. The strongest positive factor is the adequate annual rainfall (667.59mm) and good clay content (18.7%), which support water retention. Operational risks include poor germination, slow development, failure to mature before frost, and nutrient deficiencies/toxicity due to low pH. Mitigation requires selecting very early-maturing, cold-tolerant varieties and significant soil liming to raise pH.",15.0,20.064436,5.586,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Region Centralny,P001,667.585,0.211,low,balanced climate and stress indicators,,15.0,18.355,poor,,True,11.6,5.12,4.055,,True,0.0,14.137
