clay_pct,confidence,country,decision_source,field_hectares_for_land_estimate,frost_risk,hard_violations,humidity_pct,land_buyout_eur_per_ha,land_buyout_field_eur,land_monthly_rent_eur,land_price_matched_region,land_value_data_year,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,nuts_region,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,rules_score_before_nuts2,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
18.7,0.817,Poland,rules,10.0,0.167,"[""mean_temp_c""]",66.125,13466.0,134660.0,6733.0,Małopolskie,2024,49.715239,,,,20.506585,3.924,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P002,954.11,0.244,low,elevated frost exposure,"Best-ranked site P002 for Maize scores 55.3% (fair), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 82% here).

What looks strong: Relative humidity (66.1%) is within the ideal band (46.91–70.91) for Maize. Frost exposure (16.7% of hours at or below freezing) is within the ideal band (0–0.5) for Maize. Rainfall (954 mm (annualized)) is within the ideal band (150–1400) for Maize. Soil pH (5.12) is within the ideal band (5–8.5) for Maize. Soil organic carbon (11.6 g/kg) is within the ideal band (4–50) for Maize. Wind speed (12.9 km/h) is within the ideal band (0–40) for Maize. Severe-weather stress (0.0% of hours with severe weather codes) is within the ideal band (0–0.35) for Maize.

What is acceptable but not ideal: Clay content is 18.7%, below the ideal range (30–54) but still inside acceptable bounds (0–100), so growth potential may be reduced.

What works against the site: Mean temperature is 3.9 °C, outside the viable range (12.31–48) for Maize (ideal 25.31–35.31). This heavily penalizes suitability.

Data limitations: no values for Surface soil moisture, Sand content, Reference evapotranspiration (ET0). Those gaps reduce confidence and apply a scoring penalty.",58.998,55.284,fair,,True,11.6,5.12,4.232,,True,0.0,12.858
18.0,0.817,Poland,rules,10.0,0.075,"[""mean_temp_c""]",61.629,16284.0,162840.0,8142.0,Podlaskie,2024,52.745967,,,,23.164307,5.332,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P006,409.895,0.227,low,balanced climate and stress indicators,,58.726,55.061,fair,,True,12.238,5.25,3.766,,True,0.0,16.663
18.0,0.817,Poland,rules,10.0,0.075,"[""mean_temp_c""]",61.312,14797.0,147970.0,7398.5,Mazowiecki regionalny,2024,52.786935,,,,22.267774,5.447,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P009,331.055,0.225,low,balanced climate and stress indicators,,58.726,55.061,fair,,True,12.238,5.25,3.932,,True,0.0,16.354
17.7,0.817,Poland,rules,10.0,0.075,"[""mean_temp_c""]",60.671,14797.0,147970.0,7398.5,Mazowiecki regionalny,2024,52.499237,,,,21.345737,5.807,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P008,294.92,0.22,low,balanced climate and stress indicators,,58.61,54.966,fair,,True,14.326,5.89,4.142,,True,0.0,15.421
17.5,0.817,Poland,rules,10.0,0.113,"[""mean_temp_c""]",65.596,13917.0,139170.0,6958.5,Pomorskie,2024,54.28164,,,,16.945995,5.006,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P004,197.83,0.227,low,elevated frost exposure,,58.532,54.902,fair,,True,10.266,5.29,3.791,,True,0.0,13.896
18.4,0.817,Poland,rules,10.0,0.146,"[""mean_temp_c""]",71.596,9625.0,96250.0,4812.5,Podkarpackie,2024,49.6263,,,,22.395715,4.152,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P003,890.965,0.238,low,elevated frost exposure,,58.527,54.898,fair,,True,10.15,5.13,4.214,,True,0.0,13.488
13.2,0.817,Poland,rules,10.0,0.021,"[""mean_temp_c""]",57.767,12050.0,120500.0,6025.0,Dolnośląskie,2024,51.468074,,,,16.773324,6.882,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P005,383.98,0.186,low,balanced climate and stress indicators,,56.863,53.533,fair,,True,12.47,5.11,4.399,,True,0.0,13.421
13.2,0.817,Poland,rules,10.0,0.017,"[""mean_temp_c""]",56.871,9350.0,93500.0,4675.0,Lubuskie,2024,51.748332,,,,16.2859,6.907,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P010,365.73,0.184,low,balanced climate and stress indicators,,56.863,53.533,fair,,True,12.47,5.11,4.352,,True,0.0,13.458
17.5,0.747,Poland,rules,10.0,0.113,"[""mean_temp_c"", ""rainfall_mm""]",60.646,13917.0,139170.0,6958.5,Pomorskie,2024,53.562405,,,,17.138915,5.312,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P007,84.315,0.229,low,elevated frost exposure,,44.71,43.568,fair,,True,10.266,5.29,4.061,,True,0.0,14.217
35.8,0.817,Poland,llm,10.0,0.267,"[""mean_temp_c""]",78.3,13466.0,134660.0,6733.0,Małopolskie,2024,49.430553,poor,"The location's extremely low mean annual temperature (2.3°C) and high frost risk (26.7%) are severe limiting factors, making it highly unsuitable for maize, a warm-season crop. While soil organic carbon (22.85 g/kg) and clay content (35.8%) are positive for fertility and water retention, they cannot compensate for the adverse climate. Operational risks include complete crop failure due to insufficient heat units and severe frost damage. Mitigation involves selecting ultra-early, cold-tolerant varieties, but alternative, cold-hardy crops are strongly recommended.",15.0,19.932404,2.319,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,P001,918.34,0.274,low,elevated frost exposure,,15.0,19.205,poor,,True,22.852,7.14,3.813,,True,0.0,10.742
