clay_pct,country,frost_risk,humidity_pct,lat,lon,mean_temp_c,nuts_region,point_id,rainfall_mm,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
35.8,Poland,0.267,78.3,49.430553,19.932404,2.319,,P001,918.34,,True,22.852,7.14,3.813,,True,0.0,10.742
18.7,Poland,0.167,66.125,49.715239,20.506585,3.924,,P002,954.11,,True,11.6,5.12,4.232,,True,0.0,12.858
18.4,Poland,0.146,71.596,49.6263,22.395715,4.152,,P003,890.965,,True,10.15,5.13,4.214,,True,0.0,13.488
17.5,Poland,0.113,65.596,54.28164,16.945995,5.006,,P004,197.83,,True,10.266,5.29,3.791,,True,0.0,13.896
13.2,Poland,0.021,57.767,51.468074,16.773324,6.882,,P005,383.98,,True,12.47,5.11,4.399,,True,0.0,13.421
18.0,Poland,0.075,61.629,52.745967,23.164307,5.332,,P006,409.895,,True,12.238,5.25,3.766,,True,0.0,16.663
17.5,Poland,0.113,60.646,53.562405,17.138915,5.312,,P007,84.315,,True,10.266,5.29,4.061,,True,0.0,14.217
17.7,Poland,0.075,60.671,52.499237,21.345737,5.807,,P008,294.92,,True,14.326,5.89,4.142,,True,0.0,15.421
18.0,Poland,0.075,61.312,52.786935,22.267774,5.447,,P009,331.055,,True,12.238,5.25,3.932,,True,0.0,16.354
13.2,Poland,0.017,56.871,51.748332,16.2859,6.907,,P010,365.73,,True,12.47,5.11,4.352,,True,0.0,13.458
