clay_pct,confidence,country,decision_source,field_hectares_for_land_estimate,frost_risk,hard_violations,humidity_pct,land_buyout_eur_per_ha,land_buyout_field_eur,land_monthly_rent_eur,land_price_matched_region,land_value_data_year,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,nuts_region,open_meteo_history_comparison_lines,open_meteo_history_end_date,open_meteo_history_endpoint,open_meteo_history_error,open_meteo_history_features,open_meteo_history_ok,open_meteo_history_start_date,open_meteo_history_validation_text,open_meteo_history_vs_run_grade,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
28.1,0.887,Greece,rules,10.0,0.0,[],65.554,14312.0,143120.0,7156.0,Greece,2024,35.393313,,,,23.71106,13.428,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P003,172.28,0.178,low,balanced climate and stress indicators,"Best-ranked site P003 for Oil Seeds scores 73.6% (good), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 89% here).

What looks strong: Relative humidity (65.6%) is within the ideal band (46.75–70.75) for Oil Seeds. Clay content (28.1%) is within the ideal band (23–47) for Oil Seeds. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.5) for Oil Seeds. Rainfall (172 mm (annualized)) is within the ideal band (150–1400) for Oil Seeds. Soil pH (7.53) is within the ideal band (5–8.5) for Oil Seeds. Soil organic carbon (10.2 g/kg) is within the ideal band (4–50) for Oil Seeds. Wind speed (13.6 km/h) is within the ideal band (0–40) for Oil Seeds. (+1 more positives)

What is acceptable but not ideal: Mean temperature is 13.4 °C, below the ideal range (25.28–35.28) but still inside acceptable bounds (12.28–48), so growth potential may be reduced.

Data limitations: no values for Surface soil moisture, Sand content, Reference evapotranspiration (ET0). Those gaps reduce confidence and apply a scoring penalty.",73.646,good,,True,10.208,7.53,2.15,,True,0.0,13.588
28.1,0.887,Greece,rules,10.0,0.0,[],70.275,14312.0,143120.0,7156.0,Greece,2024,38.2115,,,,22.942991,13.307,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P017,447.49,0.145,low,balanced climate and stress indicators,,73.407,good,,True,10.208,7.53,2.836,,True,0.0,7.796
28.4,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",64.971,14312.0,143120.0,7156.0,Greece,2024,40.825253,,,,22.382619,11.826,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P001,665.395,0.132,low,balanced climate and stress indicators,,63.384,good,,True,6.612,7.03,4.362,,True,0.0,5.583
29.4,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",66.083,14312.0,143120.0,7156.0,Greece,2024,40.421624,,,,23.391652,11.22,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P004,387.63,0.147,low,balanced climate and stress indicators,,63.384,good,,True,6.786,7.08,3.464,,True,0.0,8.162
29.0,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",69.646,14312.0,143120.0,7156.0,Greece,2024,39.242484,,,,22.316482,12.262,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P007,362.445,0.13,low,balanced climate and stress indicators,,63.384,good,,True,10.962,7.05,3.957,,True,0.0,5.263
27.1,0.817,Greece,rules,10.0,0.1,"[""mean_temp_c""]",66.954,14312.0,143120.0,7156.0,Greece,2024,39.835781,,,,21.230023,5.887,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P008,375.585,0.181,low,balanced climate and stress indicators,,63.384,good,,True,6.786,7.26,4.312,,True,0.0,6.875
28.4,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",66.612,14312.0,143120.0,7156.0,Greece,2024,40.517276,,,,22.205909,11.333,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P009,474.5,0.128,low,balanced climate and stress indicators,,63.384,good,,True,6.612,7.03,4.083,,True,0.0,4.817
28.1,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",69.942,14312.0,143120.0,7156.0,Greece,2024,37.081147,,,,22.792548,10.705,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P020,259.88,0.142,low,balanced climate and stress indicators,,63.384,good,,True,10.208,7.53,3.372,,True,0.0,7.287
29.4,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",70.796,14312.0,143120.0,7156.0,Greece,2024,40.676646,,,,23.656491,11.752,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P013,1320.205,0.14,low,balanced climate and stress indicators,,63.36,good,,True,6.786,7.08,3.809,,True,0.0,6.963
23.9,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",70.804,14312.0,143120.0,7156.0,Greece,2024,39.329008,,,,22.424633,12.172,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P018,696.785,0.132,low,balanced climate and stress indicators,,63.356,good,,True,8.062,7.59,3.865,,True,0.0,5.683
