clay_pct,country,frost_risk,humidity_pct,lat,lon,mean_temp_c,nuts_region,point_id,rainfall_mm,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
28.9,France,0.0,48.383,42.584275,9.058274,13.632,,P001,275.94,,True,14.326,6.44,3.153,,True,0.0,6.925
18.4,France,0.0,69.292,50.024422,1.980707,11.518,,P002,484.72,,True,15.08,6.48,4.274,,True,0.0,11.625
20.9,France,0.0,68.458,48.216547,0.844575,13.186,,P003,100.74,,True,16.936,8.08,4.571,,True,0.0,11.754
22.9,France,0.0,64.621,49.255609,5.561734,10.74,,P004,322.66,,True,16.646,8.02,4.293,,True,0.0,11.2
20.9,France,0.0,69.717,47.834231,-1.319075,13.774,,P005,20.805,,True,16.936,8.08,4.398,,True,0.0,11.921
18.4,France,0.0,69.696,50.545209,1.968267,11.484,,P006,561.735,,True,15.08,6.48,3.948,,True,0.0,12.604
24.5,France,0.0,65.542,45.884665,-0.675908,16.046,,P007,36.135,,True,12.76,6.3,4.696,,True,0.0,10.338
25.7,France,0.0,59.704,45.468849,5.781384,12.48,,P008,1212.53,,True,16.008,6.9,4.319,,True,0.0,4.046
22.9,France,0.0,65.992,49.145765,4.196035,11.852,,P009,254.77,,True,16.646,8.02,4.454,,True,0.0,10.271
27.4,France,0.0,60.35,44.385554,1.832653,15.176,,P010,84.315,,True,11.194,7.59,4.737,,True,0.0,10.912
26.5,France,0.0,60.033,43.02736,-1.188748,13.715,,P011,425.59,,True,12.934,6.19,4.172,,True,0.0,8.521
22.9,France,0.0,65.371,48.91127,6.086303,10.944,,P012,254.405,,True,16.646,8.02,4.304,,True,0.0,10.342
24.5,France,0.0,67.779,46.51599,-1.433965,15.241,,P013,41.975,,True,12.76,6.3,4.347,,True,0.0,11.175
18.4,France,0.0,69.875,50.131141,1.926788,11.691,,P014,434.35,,True,15.08,6.48,4.175,,True,0.0,12.025
28.4,France,0.0,63.575,49.003739,6.54305,10.771,,P015,154.395,,True,20.532,6.45,4.088,,True,0.0,11.108
