clay_pct,confidence,country,decision_source,field_hectares_for_land_estimate,frost_risk,hard_violations,humidity_pct,land_buyout_eur_per_ha,land_buyout_field_eur,land_monthly_rent_eur,land_price_matched_region,land_value_data_year,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,nuts_region,open_meteo_history_comparison_lines,open_meteo_history_end_date,open_meteo_history_endpoint,open_meteo_history_error,open_meteo_history_features,open_meteo_history_ok,open_meteo_history_start_date,open_meteo_history_validation_text,open_meteo_history_vs_run_grade,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,rules_score_before_nuts2,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
23.1,0.887,France,rules,10.0,0.0,[],65.883,6670.0,66700.0,1200.6,Centre — Val de Loire,2024,46.596721,,,,1.054181,15.148,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P026,180.675,0.153,low,balanced climate and stress indicators,"Best-ranked site P026 for Wheat scores 70.7% (good), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 89% here).

What looks strong: Relative humidity (65.9%) is within the ideal band (47.93–71.93) for Wheat. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.5) for Wheat. Rainfall (181 mm (annualized)) is within the ideal band (150–1400) for Wheat. Soil pH (7.69) is within the ideal band (5–8.5) for Wheat. Soil organic carbon (18.2 g/kg) is within the ideal band (4–50) for Wheat. Wind speed (9.2 km/h) is within the ideal band (0–40) for Wheat. Severe-weather stress (0.0% of hours with severe weather codes) is within the ideal band (0–0.35) for Wheat.

What is acceptable but not ideal: Mean temperature is 15.1 °C, below the ideal range (25.56–35.56) but still inside acceptable bounds (12.56–48), so growth potential may be reduced. Clay content is 23.1%, below the ideal range (30–54) but still inside acceptable bounds (0–100), so growth potential may be reduced.

Data limitations: no values for Surface soil moisture, Sand content, Reference evapotranspiration (ET0). Those gaps reduce confidence and apply a scoring penalty.",73.805,70.729,good,,True,18.154,7.69,4.8,,True,0.0,9.196
25.7,0.887,France,rules,10.0,0.0,[],62.683,4570.0,45700.0,822.6,Rhône-Alpes,2024,45.921483,,,,5.313838,14.541,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P033,461.725,0.144,low,balanced climate and stress indicators,,73.618,70.575,good,,True,16.008,6.9,4.514,,True,0.0,7.646
30.7,0.887,France,rules,10.0,0.0,[],57.312,11930.0,119300.0,2147.4,Provence-Alpes-Côte d’Azur,2024,44.23922,,,,5.190129,13.489,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P021,298.935,0.142,low,balanced climate and stress indicators,,73.214,70.244,good,,True,11.658,7.4,4.746,,True,0.0,7.375
28.9,0.887,France,rules,10.0,0.0,[],48.383,6400.0,64000.0,1152.0,France,2024,42.584275,,,,9.058274,13.632,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P001,275.94,0.14,low,balanced climate and stress indicators,,73.069,70.125,good,,True,14.326,6.44,3.153,,True,0.0,6.925
23.5,0.887,France,rules,10.0,0.0,[],64.404,6670.0,66700.0,1200.6,Centre — Val de Loire,2024,47.498047,,,,1.64107,14.539,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P024,324.85,0.154,low,balanced climate and stress indicators,,72.76,69.872,good,,True,16.646,7.9,5.052,,True,0.0,9.371
26.5,0.887,France,rules,10.0,0.0,[],60.033,6400.0,64000.0,1152.0,France,2024,43.02736,,,,-1.188748,13.715,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P011,425.59,0.149,low,balanced climate and stress indicators,,72.301,69.495,good,,True,12.934,6.19,4.172,,True,0.0,8.521
22.9,0.887,France,rules,10.0,0.0,[],67.175,6670.0,66700.0,1200.6,Centre — Val de Loire,2024,47.679927,,,,2.585007,13.802,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P050,366.825,0.156,low,balanced climate and stress indicators,,71.075,68.49,good,,True,16.646,8.02,4.747,,True,0.0,9.779
22.9,0.887,France,rules,10.0,0.0,[],65.862,2580.0,25800.0,464.4,Franche-Comté,2024,47.770151,,,,5.908534,12.625,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P035,281.415,0.149,low,balanced climate and stress indicators,,68.756,66.588,good,,True,16.646,8.02,4.559,,True,0.0,8.5
17.9,0.887,France,rules,10.0,0.0,[],63.417,3280.0,32800.0,590.4,Limousin,2024,46.009319,,,,2.480736,13.11,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P045,378.505,0.148,low,balanced climate and stress indicators,,67.771,65.781,good,,True,16.82,8.01,4.895,,True,0.0,8.375
30.7,0.887,France,llm,10.0,0.0,[],58.454,6770.0,67700.0,1218.6,Languedoc-Roussillon,2024,44.145477,poor,"Suitability is poor due to extremely low rainfall (166.44 mm), far below wheat's water requirements, making rainfed cultivation highly unviable. The strongest positive factor is the complete absence of frost risk and suitable mean temperature. However, severe drought stress will be the primary limiting factor. Operational risks include widespread crop failure, extremely low yields, and poor nutrient uptake without significant water input. Mitigation requires mandatory supplemental irrigation, selection of highly drought-tolerant varieties, and implementation of water-efficient farming practices. Alternative, more drought-adapted crops should be considered.",15.0,3.890313,14.118,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,[],2026-04-04,https://archive-api.open-meteo.com/v1/archive,Request failed after retries: HTTP Error 429: Too Many Requests,{},False,2023-04-05,Open-Meteo archive unavailable: Request failed after retries: HTTP Error 429: Too Many Requests,,P031,166.44,0.142,low,balanced climate and stress indicators,,15.0,22.509,poor,,True,11.658,7.4,4.917,,True,0.0,7.296
