clay_pct,confidence,country,decision_source,field_hectares_for_land_estimate,frost_risk,hard_violations,humidity_pct,land_buyout_eur_per_ha,land_buyout_field_eur,land_monthly_rent_eur,land_price_matched_region,land_value_data_year,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,nuts_region,open_meteo_history_comparison_lines,open_meteo_history_end_date,open_meteo_history_endpoint,open_meteo_history_error,open_meteo_history_features,open_meteo_history_ok,open_meteo_history_start_date,open_meteo_history_validation_text,open_meteo_history_vs_run_grade,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,rules_score_before_nuts2,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
35.6,0.817,Hungary,rules,10.0,0.0,"[""mean_temp_c""]",51.346,6041.0,60410.0,1087.38,Hungary,2024,47.463643,,,,19.131488,9.371,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Budapest,"[""mean_temp_c: run 9.4 \u00b0C vs archive 12.8 \u00b0C (\u0394 3.4)"", ""rainfall_mm: run 373 mm/yr eq. vs archive 646 mm/yr eq. (rel \u0394 42%)"", ""humidity_pct: run 51% vs archive 71% (\u0394 19)"", ""frost_risk: run 0.000 vs archive 0.081 (\u0394 0.081)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 12.769, ""temp_std_c"": 9.377, ""frost_risk"": 0.081, ""rainfall_mm"": 645.51, ""humidity_pct"": 70.795, ""wind_speed_10m_kmh"": 9.366, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.4 °C vs archive 12.8 °C (Δ 3.4) rainfall_mm: run 373 mm/yr eq. vs archive 646 mm/yr eq. (rel Δ 42%) humidity_pct: run 51% vs archive 71% (Δ 19) frost_risk: run 0.000 vs archive 0.081 (Δ 0.081),review,P002,373.395,0.16,low,balanced climate and stress indicators,"Best-ranked site P002 for Maize scores 61.9% (good), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 82% here).

What looks strong: Relative humidity (51.3%) is within the ideal band (46.91–70.91) for Maize. Clay content (35.6%) is within the ideal band (30–54) for Maize. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.5) for Maize. Rainfall (373 mm (annualized)) is within the ideal band (150–1400) for Maize. Soil pH (7.40) is within the ideal band (5–8.5) for Maize. Soil organic carbon (25.5 g/kg) is within the ideal band (4–50) for Maize. Wind speed (10.4 km/h) is within the ideal band (0–40) for Maize. (+1 more positives)

What works against the site: Mean temperature is 9.4 °C, outside the viable range (12.31–48) for Maize (ideal 25.31–35.31). This heavily penalizes suitability.

Data limitations: no values for Surface soil moisture, Sand content, Reference evapotranspiration (ET0). Those gaps reduce confidence and apply a scoring penalty.",63.384,61.891,good,,True,25.462,7.4,4.212,,True,0.0,10.425
35.6,0.817,Hungary,rules,10.0,0.0,"[""mean_temp_c""]",53.996,6041.0,60410.0,1087.38,Hungary,2024,47.564427,,,,19.153384,9.005,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Budapest,"[""mean_temp_c: run 9.0 \u00b0C vs archive 12.3 \u00b0C (\u0394 3.3)"", ""rainfall_mm: run 387 mm/yr eq. vs archive 690 mm/yr eq. (rel \u0394 44%)"", ""humidity_pct: run 54% vs archive 73% (\u0394 19)"", ""frost_risk: run 0.000 vs archive 0.089 (\u0394 0.089)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 12.328, ""temp_std_c"": 9.327, ""frost_risk"": 0.089, ""rainfall_mm"": 690.036, ""humidity_pct"": 72.99, ""wind_speed_10m_kmh"": 8.649, ""weather_stress_ratio"": 0.002}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.0 °C vs archive 12.3 °C (Δ 3.3) rainfall_mm: run 387 mm/yr eq. vs archive 690 mm/yr eq. (rel Δ 44%) humidity_pct: run 54% vs archive 73% (Δ 19) frost_risk: run 0.000 vs archive 0.089 (Δ 0.089),review,P003,387.265,0.161,low,balanced climate and stress indicators,,63.384,61.891,good,,True,25.462,7.4,4.235,,True,0.0,10.6
35.6,0.817,Hungary,rules,10.0,0.0,"[""mean_temp_c""]",51.392,6041.0,60410.0,1087.38,Hungary,2024,47.53791,,,,18.975678,8.553,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Budapest,"[""mean_temp_c: run 8.6 \u00b0C vs archive 11.8 \u00b0C (\u0394 3.3)"", ""rainfall_mm: run 435 mm/yr eq. vs archive 717 mm/yr eq. (rel \u0394 39%)"", ""humidity_pct: run 51% vs archive 73% (\u0394 21)"", ""frost_risk: run 0.000 vs archive 0.097 (\u0394 0.097)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 11.848, ""temp_std_c"": 9.097, ""frost_risk"": 0.097, ""rainfall_mm"": 716.779, ""humidity_pct"": 72.659, ""wind_speed_10m_kmh"": 9.764, ""weather_stress_ratio"": 0.002}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 8.6 °C vs archive 11.8 °C (Δ 3.3) rainfall_mm: run 435 mm/yr eq. vs archive 717 mm/yr eq. (rel Δ 39%) humidity_pct: run 51% vs archive 73% (Δ 21) frost_risk: run 0.000 vs archive 0.097 (Δ 0.097),review,P004,435.445,0.165,low,balanced climate and stress indicators,,63.384,61.891,good,,True,25.462,7.4,4.211,,True,0.0,11.412
35.6,0.817,Hungary,rules,10.0,0.0,"[""mean_temp_c""]",54.108,6041.0,60410.0,1087.38,Hungary,2024,47.565336,,,,19.083966,9.089,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Budapest,"[""mean_temp_c: run 9.1 \u00b0C vs archive 12.3 \u00b0C (\u0394 3.2)"", ""rainfall_mm: run 410 mm/yr eq. vs archive 690 mm/yr eq. (rel \u0394 41%)"", ""humidity_pct: run 54% vs archive 73% (\u0394 19)"", ""frost_risk: run 0.000 vs archive 0.089 (\u0394 0.089)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 12.328, ""temp_std_c"": 9.327, ""frost_risk"": 0.089, ""rainfall_mm"": 690.036, ""humidity_pct"": 72.99, ""wind_speed_10m_kmh"": 8.649, ""weather_stress_ratio"": 0.002}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.1 °C vs archive 12.3 °C (Δ 3.2) rainfall_mm: run 410 mm/yr eq. vs archive 690 mm/yr eq. (rel Δ 41%) humidity_pct: run 54% vs archive 73% (Δ 19) frost_risk: run 0.000 vs archive 0.089 (Δ 0.089),review,P005,409.895,0.16,low,balanced climate and stress indicators,,63.384,61.891,good,,True,25.462,7.4,4.238,,True,0.0,10.542
35.6,0.817,Hungary,rules,10.0,0.0,"[""mean_temp_c""]",52.192,6041.0,60410.0,1087.38,Hungary,2024,47.515703,,,,19.292959,8.98,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Budapest,"[""mean_temp_c: run 9.0 \u00b0C vs archive 12.4 \u00b0C (\u0394 3.4)"", ""rainfall_mm: run 357 mm/yr eq. vs archive 638 mm/yr eq. (rel \u0394 44%)"", ""humidity_pct: run 52% vs archive 71% (\u0394 19)"", ""frost_risk: run 0.000 vs archive 0.093 (\u0394 0.093)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 12.358, ""temp_std_c"": 9.354, ""frost_risk"": 0.093, ""rainfall_mm"": 638.084, ""humidity_pct"": 71.306, ""wind_speed_10m_kmh"": 9.413, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.0 °C vs archive 12.4 °C (Δ 3.4) rainfall_mm: run 357 mm/yr eq. vs archive 638 mm/yr eq. (rel Δ 44%) humidity_pct: run 52% vs archive 71% (Δ 19) frost_risk: run 0.000 vs archive 0.093 (Δ 0.093),review,P006,356.605,0.162,low,balanced climate and stress indicators,,63.384,61.891,good,,True,25.462,7.4,4.178,,True,0.0,10.921
35.6,0.817,Hungary,rules,10.0,0.0,"[""mean_temp_c""]",51.829,6041.0,60410.0,1087.38,Hungary,2024,47.529724,,,,18.994925,8.976,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Budapest,"[""mean_temp_c: run 9.0 \u00b0C vs archive 11.8 \u00b0C (\u0394 2.9)"", ""rainfall_mm: run 423 mm/yr eq. vs archive 717 mm/yr eq. (rel \u0394 41%)"", ""humidity_pct: run 52% vs archive 73% (\u0394 21)"", ""frost_risk: run 0.000 vs archive 0.097 (\u0394 0.097)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 11.848, ""temp_std_c"": 9.097, ""frost_risk"": 0.097, ""rainfall_mm"": 716.779, ""humidity_pct"": 72.659, ""wind_speed_10m_kmh"": 9.764, ""weather_stress_ratio"": 0.002}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.0 °C vs archive 11.8 °C (Δ 2.9) rainfall_mm: run 423 mm/yr eq. vs archive 717 mm/yr eq. (rel Δ 41%) humidity_pct: run 52% vs archive 73% (Δ 21) frost_risk: run 0.000 vs archive 0.097 (Δ 0.097),review,P007,423.4,0.164,low,balanced climate and stress indicators,,63.384,61.891,good,,True,25.462,7.4,4.204,,True,0.0,11.162
35.6,0.817,Hungary,rules,10.0,0.0,"[""mean_temp_c""]",51.892,6041.0,60410.0,1087.38,Hungary,2024,47.459817,,,,19.214819,9.28,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Budapest,"[""mean_temp_c: run 9.3 \u00b0C vs archive 12.6 \u00b0C (\u0394 3.3)"", ""rainfall_mm: run 366 mm/yr eq. vs archive 632 mm/yr eq. (rel \u0394 42%)"", ""humidity_pct: run 52% vs archive 71% (\u0394 19)"", ""frost_risk: run 0.000 vs archive 0.086 (\u0394 0.086)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 12.601, ""temp_std_c"": 9.382, ""frost_risk"": 0.086, ""rainfall_mm"": 631.756, ""humidity_pct"": 70.948, ""wind_speed_10m_kmh"": 9.427, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.3 °C vs archive 12.6 °C (Δ 3.3) rainfall_mm: run 366 mm/yr eq. vs archive 632 mm/yr eq. (rel Δ 42%) humidity_pct: run 52% vs archive 71% (Δ 19) frost_risk: run 0.000 vs archive 0.086 (Δ 0.086),review,P008,366.095,0.16,low,balanced climate and stress indicators,,63.384,61.891,good,,True,25.462,7.4,4.206,,True,0.0,10.55
35.6,0.817,Hungary,rules,10.0,0.0,"[""mean_temp_c""]",50.529,6041.0,60410.0,1087.38,Hungary,2024,47.485744,,,,18.960495,8.763,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Budapest,"[""mean_temp_c: run 8.8 \u00b0C vs archive 10.7 \u00b0C (\u0394 2.0)"", ""rainfall_mm: run 422 mm/yr eq. vs archive 709 mm/yr eq. (rel \u0394 40%)"", ""humidity_pct: run 51% vs archive 71% (\u0394 21)"", ""frost_risk: run 0.000 vs archive 0.141 (\u0394 0.141)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 10.739, ""temp_std_c"": 9.149, ""frost_risk"": 0.141, ""rainfall_mm"": 709.419, ""humidity_pct"": 71.213, ""wind_speed_10m_kmh"": 10.513, ""weather_stress_ratio"": 0.002}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 8.8 °C vs archive 10.7 °C (Δ 2.0) rainfall_mm: run 422 mm/yr eq. vs archive 709 mm/yr eq. (rel Δ 40%) humidity_pct: run 51% vs archive 71% (Δ 21) frost_risk: run 0.000 vs archive 0.141 (Δ 0.141),review,P009,422.305,0.165,low,balanced climate and stress indicators,,63.384,61.891,good,,True,25.462,7.4,4.184,,True,0.0,11.417
35.6,0.817,Hungary,rules,10.0,0.0,"[""mean_temp_c""]",50.529,6041.0,60410.0,1087.38,Hungary,2024,47.513332,,,,18.978605,8.763,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Budapest,"[""mean_temp_c: run 8.8 \u00b0C vs archive 11.8 \u00b0C (\u0394 3.1)"", ""rainfall_mm: run 422 mm/yr eq. vs archive 717 mm/yr eq. (rel \u0394 41%)"", ""humidity_pct: run 51% vs archive 73% (\u0394 22)"", ""frost_risk: run 0.000 vs archive 0.097 (\u0394 0.097)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 11.848, ""temp_std_c"": 9.097, ""frost_risk"": 0.097, ""rainfall_mm"": 716.779, ""humidity_pct"": 72.659, ""wind_speed_10m_kmh"": 9.764, ""weather_stress_ratio"": 0.002}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 8.8 °C vs archive 11.8 °C (Δ 3.1) rainfall_mm: run 422 mm/yr eq. vs archive 717 mm/yr eq. (rel Δ 41%) humidity_pct: run 51% vs archive 73% (Δ 22) frost_risk: run 0.000 vs archive 0.097 (Δ 0.097),review,P010,422.305,0.165,low,balanced climate and stress indicators,,63.384,61.891,good,,True,25.462,7.4,4.184,,True,0.0,11.417
35.6,0.817,Hungary,llm,10.0,0.0,"[""mean_temp_c""]",52.65,6041.0,60410.0,1087.38,Hungary,2024,47.469456,poor,"Maize suitability is poor due to critically low mean temperature (9.055°C, far below optimal 20-30°C) and insufficient rainfall (355.145mm vs. 500-800mm needed). These are the strongest limiting factors. Strongest positive factors are zero frost risk and good soil organic carbon (25.462 g/kg). Operational risks include severe yield reduction from cold and drought. Mitigation requires extensive irrigation, cold/drought-tolerant varieties, and potentially soil warming techniques.",15.0,19.297705,9.055,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",Budapest,"[""mean_temp_c: run 9.1 \u00b0C vs archive 12.4 \u00b0C (\u0394 3.3)"", ""rainfall_mm: run 355 mm/yr eq. vs archive 616 mm/yr eq. (rel \u0394 42%)"", ""humidity_pct: run 53% vs archive 71% (\u0394 19)"", ""frost_risk: run 0.000 vs archive 0.088 (\u0394 0.088)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 12.405, ""temp_std_c"": 9.238, ""frost_risk"": 0.088, ""rainfall_mm"": 616.47, ""humidity_pct"": 71.43, ""wind_speed_10m_kmh"": 10.03, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.1 °C vs archive 12.4 °C (Δ 3.3) rainfall_mm: run 355 mm/yr eq. vs archive 616 mm/yr eq. (rel Δ 42%) humidity_pct: run 53% vs archive 71% (Δ 19) frost_risk: run 0.000 vs archive 0.088 (Δ 0.088),review,P001,355.145,0.162,low,balanced climate and stress indicators,,15.0,22.216,poor,,True,25.462,7.4,4.202,,True,0.0,10.933
