clay_pct,country,frost_risk,humidity_pct,lat,lon,mean_temp_c,nuts_region,point_id,rainfall_mm,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
18.4,Belgium,0.0,67.721,50.539307,4.818281,9.948,Prov. Namur,P001,523.775,,True,15.08,6.48,4.344,,True,0.0,11.108
18.4,Belgium,0.0,68.379,50.455243,4.894263,9.929,Prov. Namur,P002,445.3,,True,15.08,6.48,4.455,,True,0.0,10.621
18.4,Belgium,0.0,67.65,50.497899,5.029307,9.832,Prov. Namur,P003,393.105,,True,15.08,6.48,4.447,,True,0.0,10.537
22.9,Belgium,0.0,68.5,50.163694,5.038482,9.543,Prov. Namur,P004,281.415,,True,16.646,8.02,4.626,,True,0.0,10.012
18.4,Belgium,0.0,67.096,50.26128,4.558352,9.772,Prov. Namur,P005,387.265,,True,15.08,6.48,4.362,,True,0.0,11.571
18.4,Belgium,0.0,67.467,50.256544,5.282268,9.438,Prov. Namur,P006,313.535,,True,15.08,6.48,4.554,,True,0.0,10.175
18.4,Belgium,0.0,67.875,50.433187,4.920898,9.816,Prov. Namur,P007,415.37,,True,15.08,6.48,4.498,,True,0.0,10.546
18.4,Belgium,0.0,66.883,50.325264,4.593912,9.88,Prov. Namur,P008,402.595,,True,15.08,6.48,4.364,,True,0.0,11.229
22.9,Belgium,0.0,68.921,50.144906,4.835417,9.707,Prov. Namur,P009,285.795,,True,16.646,8.02,4.627,,True,0.0,10.079
18.4,Belgium,0.0,66.846,50.226729,4.576291,9.655,Prov. Namur,P010,360.62,,True,15.08,6.48,4.423,,True,0.0,11.079
18.4,Belgium,0.0,67.808,50.294855,4.999341,9.672,Prov. Namur,P011,320.47,,True,15.08,6.48,4.496,,True,0.0,10.296
18.4,Belgium,0.0,68.242,50.407452,4.886035,9.873,Prov. Namur,P012,418.655,,True,15.08,6.48,4.496,,True,0.0,10.558
18.4,Belgium,0.0,67.504,50.281726,4.393646,9.958,Prov. Namur,P013,453.695,,True,15.08,6.48,4.366,,True,0.0,11.367
18.4,Belgium,0.0,68.208,50.207965,4.804421,9.596,Prov. Namur,P014,320.105,,True,15.08,6.48,4.574,,True,0.0,10.204
18.4,Belgium,0.0,67.129,50.302457,4.664793,9.752,Prov. Namur,P015,366.095,,True,15.08,6.48,4.375,,True,0.0,11.125
22.9,Belgium,0.0,67.737,50.040969,4.491486,9.728,Prov. Namur,P016,276.305,,True,16.646,8.02,4.45,,True,0.0,10.812
18.4,Belgium,0.0,67.808,50.515199,4.84248,9.919,Prov. Namur,P017,488.735,,True,15.08,6.48,4.409,,True,0.0,10.863
18.4,Belgium,0.0,67.787,50.536814,5.00687,9.872,Prov. Namur,P018,401.5,,True,15.08,6.48,4.379,,True,0.0,10.904
22.9,Belgium,0.0,68.383,50.125778,4.892638,9.61,Prov. Namur,P019,278.13,,True,16.646,8.02,4.633,,True,0.0,10.158
18.4,Belgium,0.0,66.733,50.437234,5.107143,9.623,Prov. Namur,P020,384.345,,True,15.08,6.48,4.413,,True,0.0,10.733
