clay_pct,confidence,country,decision_source,field_hectares_for_land_estimate,frost_risk,hard_violations,humidity_pct,land_buyout_eur_per_ha,land_buyout_field_eur,land_monthly_rent_eur,land_price_matched_region,land_value_data_year,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,nuts_region,open_meteo_history_comparison_lines,open_meteo_history_end_date,open_meteo_history_endpoint,open_meteo_history_error,open_meteo_history_features,open_meteo_history_ok,open_meteo_history_start_date,open_meteo_history_validation_text,open_meteo_history_vs_run_grade,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
28.1,0.887,Greece,rules,10.0,0.0,[],65.554,29527.0,295270.0,5314.86,Kriti,2024,35.393313,,,,23.71106,13.428,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 13.4 \u00b0C vs archive 16.0 \u00b0C (\u0394 2.6)"", ""rainfall_mm: run 172 mm/yr eq. vs archive 746 mm/yr eq. (rel \u0394 77%)"", ""humidity_pct: run 66% vs archive 71% (\u0394 6)"", ""frost_risk: run 0.000 vs archive 0.000 (\u0394 0.000)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 16.026, ""temp_std_c"": 7.326, ""frost_risk"": 0.0, ""rainfall_mm"": 746.219, ""humidity_pct"": 71.217, ""wind_speed_10m_kmh"": 11.594, ""weather_stress_ratio"": 0.0}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 13.4 °C vs archive 16.0 °C (Δ 2.6) rainfall_mm: run 172 mm/yr eq. vs archive 746 mm/yr eq. (rel Δ 77%) humidity_pct: run 66% vs archive 71% (Δ 6) frost_risk: run 0.000 vs archive 0.000 (Δ 0.000),mostly_aligned,P003,172.28,0.178,low,balanced climate and stress indicators,"Best-ranked site P003 for Tobacco scores 74.3% (good), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 89% here).

What looks strong: Relative humidity (65.6%) is within the ideal band (46.87–70.87) for Tobacco. Clay content (28.1%) is within the ideal band (16–40) for Tobacco. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.5) for Tobacco. Rainfall (172 mm (annualized)) is within the ideal band (150–1400) for Tobacco. Soil pH (7.53) is within the ideal band (5–8.5) for Tobacco. Soil organic carbon (10.2 g/kg) is within the ideal band (4–50) for Tobacco. Wind speed (13.6 km/h) is within the ideal band (0–40) for Tobacco. (+1 more positives)

What is acceptable but not ideal: Mean temperature is 13.4 °C, below the ideal range (24.94–34.94) but still inside acceptable bounds (11.94–47.94), so growth potential may be reduced.

Data limitations: no values for Surface soil moisture, Sand content, Reference evapotranspiration (ET0). Those gaps reduce confidence and apply a scoring penalty.",74.316,good,,True,10.208,7.53,2.15,,True,0.0,13.588
28.1,0.887,Greece,rules,10.0,0.0,[],70.275,22228.0,222280.0,4001.04,Sterea Elláda,2024,38.2115,,,,22.942991,13.307,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 13.3 \u00b0C vs archive 19.3 \u00b0C (\u0394 6.0)"", ""rainfall_mm: run 447 mm/yr eq. vs archive 502 mm/yr eq. (rel \u0394 11%)"", ""humidity_pct: run 70% vs archive 65% (\u0394 6)"", ""frost_risk: run 0.000 vs archive 0.000 (\u0394 0.000)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 19.303, ""temp_std_c"": 7.819, ""frost_risk"": 0.0, ""rainfall_mm"": 501.642, ""humidity_pct"": 64.573, ""wind_speed_10m_kmh"": 11.392, ""weather_stress_ratio"": 0.0}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 13.3 °C vs archive 19.3 °C (Δ 6.0) rainfall_mm: run 447 mm/yr eq. vs archive 502 mm/yr eq. (rel Δ 11%) humidity_pct: run 70% vs archive 65% (Δ 6) frost_risk: run 0.000 vs archive 0.000 (Δ 0.000),mostly_aligned,P017,447.49,0.145,low,balanced climate and stress indicators,,74.077,good,,True,10.208,7.53,2.836,,True,0.0,7.796
29.0,0.887,Greece,rules,10.0,0.0,[],69.646,14687.0,146870.0,2643.66,Thessalia,2024,39.242484,,,,22.316482,12.262,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 12.3 \u00b0C vs archive 17.0 \u00b0C (\u0394 4.8)"", ""rainfall_mm: run 362 mm/yr eq. vs archive 740 mm/yr eq. (rel \u0394 51%)"", ""humidity_pct: run 70% vs archive 66% (\u0394 3)"", ""frost_risk: run 0.000 vs archive 0.005 (\u0394 0.005)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 17.025, ""temp_std_c"": 8.723, ""frost_risk"": 0.005, ""rainfall_mm"": 740.157, ""humidity_pct"": 66.336, ""wind_speed_10m_kmh"": 5.191, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 12.3 °C vs archive 17.0 °C (Δ 4.8) rainfall_mm: run 362 mm/yr eq. vs archive 740 mm/yr eq. (rel Δ 51%) humidity_pct: run 70% vs archive 66% (Δ 3) frost_risk: run 0.000 vs archive 0.005 (Δ 0.005),review,P007,362.445,0.13,low,balanced climate and stress indicators,,72.018,good,,True,10.962,7.05,3.957,,True,0.0,5.263
23.9,0.887,Greece,rules,10.0,0.0,[],70.804,14687.0,146870.0,2643.66,Thessalia,2024,39.329008,,,,22.424633,12.172,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 12.2 \u00b0C vs archive 16.9 \u00b0C (\u0394 4.7)"", ""rainfall_mm: run 697 mm/yr eq. vs archive 704 mm/yr eq. (rel \u0394 1%)"", ""humidity_pct: run 71% vs archive 66% (\u0394 4)"", ""frost_risk: run 0.000 vs archive 0.004 (\u0394 0.004)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 16.918, ""temp_std_c"": 8.601, ""frost_risk"": 0.004, ""rainfall_mm"": 704.09, ""humidity_pct"": 66.407, ""wind_speed_10m_kmh"": 5.806, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 12.2 °C vs archive 16.9 °C (Δ 4.7) rainfall_mm: run 697 mm/yr eq. vs archive 704 mm/yr eq. (rel Δ 1%) humidity_pct: run 71% vs archive 66% (Δ 4) frost_risk: run 0.000 vs archive 0.004 (Δ 0.004),mostly_aligned,P018,696.785,0.132,low,balanced climate and stress indicators,,71.841,good,,True,8.062,7.59,3.865,,True,0.0,5.683
28.1,0.887,Greece,rules,10.0,0.0,[],72.763,25971.0,259710.0,4674.78,Peloponnisos,2024,36.939395,,,,22.781819,12.12,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 12.1 \u00b0C vs archive 17.7 \u00b0C (\u0394 5.6)"", ""rainfall_mm: run 194 mm/yr eq. vs archive 611 mm/yr eq. (rel \u0394 68%)"", ""humidity_pct: run 73% vs archive 65% (\u0394 7)"", ""frost_risk: run 0.000 vs archive 0.000 (\u0394 0.000)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 17.678, ""temp_std_c"": 7.704, ""frost_risk"": 0.0, ""rainfall_mm"": 610.542, ""humidity_pct"": 65.494, ""wind_speed_10m_kmh"": 9.09, ""weather_stress_ratio"": 0.0}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 12.1 °C vs archive 17.7 °C (Δ 5.6) rainfall_mm: run 194 mm/yr eq. vs archive 611 mm/yr eq. (rel Δ 68%) humidity_pct: run 73% vs archive 65% (Δ 7) frost_risk: run 0.000 vs archive 0.000 (Δ 0.000),review,P006,193.815,0.146,low,balanced climate and stress indicators,,70.763,good,,True,10.208,7.53,3.257,,True,0.0,8.125
28.4,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",64.971,10969.0,109690.0,1974.42,Kentriki Makedonia,2024,40.825253,,,,22.382619,11.826,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 11.8 \u00b0C vs archive 16.5 \u00b0C (\u0394 4.6)"", ""rainfall_mm: run 665 mm/yr eq. vs archive 900 mm/yr eq. (rel \u0394 26%)"", ""humidity_pct: run 65% vs archive 70% (\u0394 5)"", ""frost_risk: run 0.000 vs archive 0.008 (\u0394 0.008)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 16.471, ""temp_std_c"": 8.229, ""frost_risk"": 0.008, ""rainfall_mm"": 899.745, ""humidity_pct"": 70.157, ""wind_speed_10m_kmh"": 4.674, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 11.8 °C vs archive 16.5 °C (Δ 4.6) rainfall_mm: run 665 mm/yr eq. vs archive 900 mm/yr eq. (rel Δ 26%) humidity_pct: run 65% vs archive 70% (Δ 5) frost_risk: run 0.000 vs archive 0.008 (Δ 0.008),mostly_aligned,P001,665.395,0.132,low,balanced climate and stress indicators,,63.384,good,,True,6.612,7.03,4.362,,True,0.0,5.583
29.4,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",66.083,10969.0,109690.0,1974.42,Kentriki Makedonia,2024,40.421624,,,,23.391652,11.22,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 11.2 \u00b0C vs archive 15.7 \u00b0C (\u0394 4.4)"", ""rainfall_mm: run 388 mm/yr eq. vs archive 899 mm/yr eq. (rel \u0394 57%)"", ""humidity_pct: run 66% vs archive 70% (\u0394 4)"", ""frost_risk: run 0.000 vs archive 0.009 (\u0394 0.009)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 15.668, ""temp_std_c"": 7.837, ""frost_risk"": 0.009, ""rainfall_mm"": 898.613, ""humidity_pct"": 70.318, ""wind_speed_10m_kmh"": 7.216, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 11.2 °C vs archive 15.7 °C (Δ 4.4) rainfall_mm: run 388 mm/yr eq. vs archive 899 mm/yr eq. (rel Δ 57%) humidity_pct: run 66% vs archive 70% (Δ 4) frost_risk: run 0.000 vs archive 0.009 (Δ 0.009),review,P004,387.63,0.147,low,balanced climate and stress indicators,,63.384,good,,True,6.786,7.08,3.464,,True,0.0,8.162
27.1,0.817,Greece,rules,10.0,0.1,"[""mean_temp_c""]",66.954,24358.0,243580.0,4384.44,Ipeiros,2024,39.835781,,,,21.230023,5.887,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 5.9 \u00b0C vs archive 9.4 \u00b0C (\u0394 3.5)"", ""rainfall_mm: run 376 mm/yr eq. vs archive 1246 mm/yr eq. (rel \u0394 70%)"", ""humidity_pct: run 67% vs archive 76% (\u0394 9)"", ""frost_risk: run 0.100 vs archive 0.115 (\u0394 0.015)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 9.354, ""temp_std_c"": 7.916, ""frost_risk"": 0.115, ""rainfall_mm"": 1245.729, ""humidity_pct"": 75.924, ""wind_speed_10m_kmh"": 8.556, ""weather_stress_ratio"": 0.009}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 5.9 °C vs archive 9.4 °C (Δ 3.5) rainfall_mm: run 376 mm/yr eq. vs archive 1246 mm/yr eq. (rel Δ 70%) humidity_pct: run 67% vs archive 76% (Δ 9) frost_risk: run 0.100 vs archive 0.115 (Δ 0.015),review,P008,375.585,0.181,low,balanced climate and stress indicators,,63.384,good,,True,6.786,7.26,4.312,,True,0.0,6.875
28.4,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",66.612,10969.0,109690.0,1974.42,Kentriki Makedonia,2024,40.517276,,,,22.205909,11.333,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 11.3 \u00b0C vs archive 16.6 \u00b0C (\u0394 5.2)"", ""rainfall_mm: run 474 mm/yr eq. vs archive 767 mm/yr eq. (rel \u0394 38%)"", ""humidity_pct: run 67% vs archive 65% (\u0394 2)"", ""frost_risk: run 0.000 vs archive 0.003 (\u0394 0.003)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 16.558, ""temp_std_c"": 8.325, ""frost_risk"": 0.003, ""rainfall_mm"": 767.366, ""humidity_pct"": 64.561, ""wind_speed_10m_kmh"": 3.904, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 11.3 °C vs archive 16.6 °C (Δ 5.2) rainfall_mm: run 474 mm/yr eq. vs archive 767 mm/yr eq. (rel Δ 38%) humidity_pct: run 67% vs archive 65% (Δ 2) frost_risk: run 0.000 vs archive 0.003 (Δ 0.003),review,P009,474.5,0.128,low,balanced climate and stress indicators,,63.384,good,,True,6.612,7.03,4.083,,True,0.0,4.817
29.4,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",70.796,10969.0,109690.0,1974.42,Kentriki Makedonia,2024,40.676646,,,,23.656491,11.752,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 11.8 \u00b0C vs archive 16.1 \u00b0C (\u0394 4.3)"", ""rainfall_mm: run 1320 mm/yr eq. vs archive 722 mm/yr eq. (rel \u0394 83%)"", ""humidity_pct: run 71% vs archive 72% (\u0394 1)"", ""frost_risk: run 0.000 vs archive 0.003 (\u0394 0.003)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 16.064, ""temp_std_c"": 7.827, ""frost_risk"": 0.003, ""rainfall_mm"": 721.974, ""humidity_pct"": 71.887, ""wind_speed_10m_kmh"": 6.822, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 11.8 °C vs archive 16.1 °C (Δ 4.3) rainfall_mm: run 1320 mm/yr eq. vs archive 722 mm/yr eq. (rel Δ 83%) humidity_pct: run 71% vs archive 72% (Δ 1) frost_risk: run 0.000 vs archive 0.003 (Δ 0.003),review,P013,1320.205,0.14,low,balanced climate and stress indicators,,63.384,good,,True,6.786,7.08,3.809,,True,0.0,6.963
