clay_pct,country,frost_risk,humidity_pct,lat,lon,mean_temp_c,nuts_region,point_id,rainfall_mm,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
28.4,Greece,0.0,59.796,40.7563,22.616293,12.488,,P001,1849.455,,True,6.612,7.03,4.582,,True,0.0,8.433
29.4,Greece,0.0,69.175,39.78953,22.428909,11.428,,P002,1093.54,,True,9.628,7.45,4.177,,True,0.0,5.017
29.4,Greece,0.0,65.783,40.358374,23.958509,13.505,,P003,1454.89,,True,6.786,7.08,2.343,,True,0.0,9.529
28.1,Greece,0.0,70.171,37.64513,22.441758,9.602,,P004,222.285,,True,10.208,7.53,3.882,,True,0.0,5.713
29.0,Greece,0.0,67.733,39.195894,22.528318,11.388,,P005,519.395,,True,10.962,7.05,3.896,,True,0.0,6.317
27.1,Greece,0.058,67.133,39.780809,21.08311,6.208,,P006,2240.37,,True,6.786,7.26,4.331,,True,0.0,6.583
28.4,Greece,0.0,59.462,40.452674,22.381233,11.399,,P007,1818.43,,True,6.612,7.03,4.104,,True,0.0,5.562
28.1,Greece,0.0,72.792,37.357541,22.416779,9.171,,P008,233.965,,True,10.208,7.53,3.618,,True,0.0,7.708
23.7,Greece,0.025,62.992,40.784221,21.520653,7.407,,P009,1995.09,,True,7.54,7.41,4.71,,True,0.0,6.646
26.5,Greece,0.0,64.692,38.196649,20.64902,14.11,,P010,490.56,,True,11.02,7.17,1.9,,True,0.0,11.787
28.1,Greece,0.0,70.183,38.433586,22.362261,11.628,,P011,681.455,,True,10.208,7.53,3.394,,True,0.0,6.242
28.4,Greece,0.017,64.233,40.961788,22.006209,8.43,,P012,2362.645,,True,6.612,7.03,5.193,,True,0.0,6.496
28.1,Greece,0.0,63.867,38.179478,23.3617,11.098,,P013,248.2,,True,10.208,7.53,3.533,,True,0.0,8.85
29.0,Greece,0.0,68.067,39.281196,22.67218,11.592,,P014,496.035,,True,10.962,7.05,3.907,,True,0.0,6.771
28.4,Greece,0.0,60.071,40.714949,22.930232,11.963,,P015,1446.495,,True,6.612,7.03,4.154,,True,0.0,8.771
23.9,Greece,0.0,67.792,39.254085,25.915527,13.065,,P016,591.3,,True,8.062,7.59,2.154,,True,0.0,15.504
35.3,Greece,0.013,70.942,41.338648,24.179676,8.117,,P017,1554.17,,True,24.766,7.01,4.496,,True,0.0,4.95
27.1,Greece,0.021,62.092,40.508562,21.109587,7.834,,P018,2057.505,,True,6.786,7.26,5.024,,True,0.0,6.537
28.1,Greece,0.0,66.579,36.848113,23.013877,13.338,,P019,129.21,,True,10.208,7.53,2.783,,True,0.0,10.971
29.4,Greece,0.0,67.588,40.967979,23.740897,11.425,,P020,1099.38,,True,6.786,7.08,4.502,,True,0.0,6.204
