clay_pct,confidence,country,decision_source,field_hectares_for_land_estimate,frost_risk,hard_violations,humidity_pct,land_buyout_eur_per_ha,land_buyout_field_eur,land_monthly_rent_eur,land_price_matched_region,land_value_data_year,lat,llm_rating,llm_reasoning,llm_score,lon,mean_temp_c,missing_features,nuts_region,open_meteo_history_comparison_lines,open_meteo_history_end_date,open_meteo_history_endpoint,open_meteo_history_error,open_meteo_history_features,open_meteo_history_ok,open_meteo_history_start_date,open_meteo_history_validation_text,open_meteo_history_vs_run_grade,point_id,rainfall_mm,risk_index,risk_level,risk_summary,rules_reasoning,score,score_band,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
23.9,0.887,Greece,rules,10.0,0.0,[],67.792,36968.0,369680.0,6654.24,Voreio Aigaio,2024,39.254085,,,,25.915527,13.065,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 13.1 \u00b0C vs archive 17.7 \u00b0C (\u0394 4.6)"", ""rainfall_mm: run 591 mm/yr eq. vs archive 613 mm/yr eq. (rel \u0394 4%)"", ""humidity_pct: run 68% vs archive 68% (\u0394 0)"", ""frost_risk: run 0.000 vs archive 0.001 (\u0394 0.001)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 17.683, ""temp_std_c"": 6.833, ""frost_risk"": 0.001, ""rainfall_mm"": 613.473, ""humidity_pct"": 68.259, ""wind_speed_10m_kmh"": 17.583, ""weather_stress_ratio"": 0.0}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 13.1 °C vs archive 17.7 °C (Δ 4.6) rainfall_mm: run 591 mm/yr eq. vs archive 613 mm/yr eq. (rel Δ 4%) humidity_pct: run 68% vs archive 68% (Δ 0) frost_risk: run 0.000 vs archive 0.001 (Δ 0.001),mostly_aligned,P016,591.3,0.189,low,balanced climate and stress indicators,"Best-ranked site P016 for Tobacco scores 73.6% (good), based on matching weather and soil signals to crop-specific ideal and limit ranges. Confidence reflects how many inputs were present (about 89% here).

What looks strong: Relative humidity (67.8%) is within the ideal band (46.87–70.87) for Tobacco. Clay content (23.9%) is within the ideal band (16–40) for Tobacco. Frost exposure (0.0% of hours at or below freezing) is within the ideal band (0–0.5) for Tobacco. Rainfall (591 mm (annualized)) is within the ideal band (150–1400) for Tobacco. Soil pH (7.59) is within the ideal band (5–8.5) for Tobacco. Soil organic carbon (8.1 g/kg) is within the ideal band (4–50) for Tobacco. Wind speed (15.5 km/h) is within the ideal band (0–40) for Tobacco. (+1 more positives)

What is acceptable but not ideal: Mean temperature is 13.1 °C, below the ideal range (24.94–34.94) but still inside acceptable bounds (11.94–47.94), so growth potential may be reduced.

Data limitations: no values for Surface soil moisture, Sand content, Reference evapotranspiration (ET0). Those gaps reduce confidence and apply a scoring penalty.",73.6,good,,True,8.062,7.59,2.154,,True,0.0,15.504
29.4,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",69.175,14687.0,146870.0,2643.66,Thessalia,2024,39.78953,,,,22.428909,11.428,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 11.4 \u00b0C vs archive 17.0 \u00b0C (\u0394 5.6)"", ""rainfall_mm: run 1094 mm/yr eq. vs archive 735 mm/yr eq. (rel \u0394 49%)"", ""humidity_pct: run 69% vs archive 64% (\u0394 5)"", ""frost_risk: run 0.000 vs archive 0.004 (\u0394 0.004)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 17.043, ""temp_std_c"": 8.414, ""frost_risk"": 0.004, ""rainfall_mm"": 734.929, ""humidity_pct"": 63.895, ""wind_speed_10m_kmh"": 5.514, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 11.4 °C vs archive 17.0 °C (Δ 5.6) rainfall_mm: run 1094 mm/yr eq. vs archive 735 mm/yr eq. (rel Δ 49%) humidity_pct: run 69% vs archive 64% (Δ 5) frost_risk: run 0.000 vs archive 0.004 (Δ 0.004),review,P002,1093.54,0.129,low,balanced climate and stress indicators,,63.384,good,,True,9.628,7.45,4.177,,True,0.0,5.017
28.1,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",70.171,25971.0,259710.0,4674.78,Peloponnisos,2024,37.64513,,,,22.441758,9.602,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 9.6 \u00b0C vs archive 14.1 \u00b0C (\u0394 4.5)"", ""rainfall_mm: run 222 mm/yr eq. vs archive 659 mm/yr eq. (rel \u0394 66%)"", ""humidity_pct: run 70% vs archive 69% (\u0394 2)"", ""frost_risk: run 0.000 vs archive 0.017 (\u0394 0.017)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 14.099, ""temp_std_c"": 8.241, ""frost_risk"": 0.017, ""rainfall_mm"": 658.965, ""humidity_pct"": 68.541, ""wind_speed_10m_kmh"": 6.174, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.6 °C vs archive 14.1 °C (Δ 4.5) rainfall_mm: run 222 mm/yr eq. vs archive 659 mm/yr eq. (rel Δ 66%) humidity_pct: run 70% vs archive 69% (Δ 2) frost_risk: run 0.000 vs archive 0.017 (Δ 0.017),review,P004,222.285,0.133,low,balanced climate and stress indicators,,63.384,good,,True,10.208,7.53,3.882,,True,0.0,5.713
29.0,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",67.733,14687.0,146870.0,2643.66,Thessalia,2024,39.195894,,,,22.528318,11.388,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 11.4 \u00b0C vs archive 15.9 \u00b0C (\u0394 4.6)"", ""rainfall_mm: run 519 mm/yr eq. vs archive 790 mm/yr eq. (rel \u0394 34%)"", ""humidity_pct: run 68% vs archive 65% (\u0394 3)"", ""frost_risk: run 0.000 vs archive 0.005 (\u0394 0.005)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 15.946, ""temp_std_c"": 8.072, ""frost_risk"": 0.005, ""rainfall_mm"": 789.579, ""humidity_pct"": 64.667, ""wind_speed_10m_kmh"": 6.907, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 11.4 °C vs archive 15.9 °C (Δ 4.6) rainfall_mm: run 519 mm/yr eq. vs archive 790 mm/yr eq. (rel Δ 34%) humidity_pct: run 68% vs archive 65% (Δ 3) frost_risk: run 0.000 vs archive 0.005 (Δ 0.005),mostly_aligned,P005,519.395,0.136,low,balanced climate and stress indicators,,63.384,good,,True,10.962,7.05,3.896,,True,0.0,6.317
28.1,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",70.183,22228.0,222280.0,4001.04,Sterea Elláda,2024,38.433586,,,,22.362261,11.628,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 11.6 \u00b0C vs archive 16.8 \u00b0C (\u0394 5.1)"", ""rainfall_mm: run 681 mm/yr eq. vs archive 787 mm/yr eq. (rel \u0394 13%)"", ""humidity_pct: run 70% vs archive 67% (\u0394 3)"", ""frost_risk: run 0.000 vs archive 0.002 (\u0394 0.002)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 16.776, ""temp_std_c"": 7.917, ""frost_risk"": 0.002, ""rainfall_mm"": 787.048, ""humidity_pct"": 67.207, ""wind_speed_10m_kmh"": 7.024, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 11.6 °C vs archive 16.8 °C (Δ 5.1) rainfall_mm: run 681 mm/yr eq. vs archive 787 mm/yr eq. (rel Δ 13%) humidity_pct: run 70% vs archive 67% (Δ 3) frost_risk: run 0.000 vs archive 0.002 (Δ 0.002),mostly_aligned,P011,681.455,0.136,low,balanced climate and stress indicators,,63.384,good,,True,10.208,7.53,3.394,,True,0.0,6.242
28.1,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",63.867,80025.0,800250.0,14404.5,Attiki,2024,38.179478,,,,23.3617,11.098,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 11.1 \u00b0C vs archive 15.1 \u00b0C (\u0394 4.0)"", ""rainfall_mm: run 248 mm/yr eq. vs archive 588 mm/yr eq. (rel \u0394 58%)"", ""humidity_pct: run 64% vs archive 68% (\u0394 4)"", ""frost_risk: run 0.000 vs archive 0.007 (\u0394 0.007)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 15.119, ""temp_std_c"": 7.877, ""frost_risk"": 0.007, ""rainfall_mm"": 588.063, ""humidity_pct"": 68.089, ""wind_speed_10m_kmh"": 9.667, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 11.1 °C vs archive 15.1 °C (Δ 4.0) rainfall_mm: run 248 mm/yr eq. vs archive 588 mm/yr eq. (rel Δ 58%) humidity_pct: run 64% vs archive 68% (Δ 4) frost_risk: run 0.000 vs archive 0.007 (Δ 0.007),review,P013,248.2,0.151,low,balanced climate and stress indicators,,63.384,good,,True,10.208,7.53,3.533,,True,0.0,8.85
29.0,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",68.067,14687.0,146870.0,2643.66,Thessalia,2024,39.281196,,,,22.67218,11.592,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 11.6 \u00b0C vs archive 15.9 \u00b0C (\u0394 4.3)"", ""rainfall_mm: run 496 mm/yr eq. vs archive 808 mm/yr eq. (rel \u0394 39%)"", ""humidity_pct: run 68% vs archive 66% (\u0394 2)"", ""frost_risk: run 0.000 vs archive 0.006 (\u0394 0.006)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 15.874, ""temp_std_c"": 8.013, ""frost_risk"": 0.006, ""rainfall_mm"": 807.662, ""humidity_pct"": 66.383, ""wind_speed_10m_kmh"": 7.126, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 11.6 °C vs archive 15.9 °C (Δ 4.3) rainfall_mm: run 496 mm/yr eq. vs archive 808 mm/yr eq. (rel Δ 39%) humidity_pct: run 68% vs archive 66% (Δ 2) frost_risk: run 0.000 vs archive 0.006 (Δ 0.006),review,P014,496.035,0.139,low,balanced climate and stress indicators,,63.384,good,,True,10.962,7.05,3.907,,True,0.0,6.771
29.4,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",67.588,10969.0,109690.0,1974.42,Kentriki Makedonia,2024,40.967979,,,,23.740897,11.425,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 11.4 \u00b0C vs archive 16.7 \u00b0C (\u0394 5.3)"", ""rainfall_mm: run 1099 mm/yr eq. vs archive 613 mm/yr eq. (rel \u0394 79%)"", ""humidity_pct: run 68% vs archive 67% (\u0394 0)"", ""frost_risk: run 0.000 vs archive 0.012 (\u0394 0.012)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 16.676, ""temp_std_c"": 8.885, ""frost_risk"": 0.012, ""rainfall_mm"": 613.473, ""humidity_pct"": 67.347, ""wind_speed_10m_kmh"": 5.775, ""weather_stress_ratio"": 0.0}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 11.4 °C vs archive 16.7 °C (Δ 5.3) rainfall_mm: run 1099 mm/yr eq. vs archive 613 mm/yr eq. (rel Δ 79%) humidity_pct: run 68% vs archive 67% (Δ 0) frost_risk: run 0.000 vs archive 0.012 (Δ 0.012),review,P020,1099.38,0.135,low,balanced climate and stress indicators,,63.384,good,,True,6.786,7.08,4.502,,True,0.0,6.204
28.1,0.817,Greece,rules,10.0,0.0,"[""mean_temp_c""]",72.792,25971.0,259710.0,4674.78,Peloponnisos,2024,37.357541,,,,22.416779,9.171,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 9.2 \u00b0C vs archive 13.7 \u00b0C (\u0394 4.6)"", ""rainfall_mm: run 234 mm/yr eq. vs archive 630 mm/yr eq. (rel \u0394 63%)"", ""humidity_pct: run 73% vs archive 69% (\u0394 3)"", ""frost_risk: run 0.000 vs archive 0.019 (\u0394 0.019)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 13.735, ""temp_std_c"": 8.03, ""frost_risk"": 0.019, ""rainfall_mm"": 629.592, ""humidity_pct"": 69.492, ""wind_speed_10m_kmh"": 11.403, ""weather_stress_ratio"": 0.001}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 9.2 °C vs archive 13.7 °C (Δ 4.6) rainfall_mm: run 234 mm/yr eq. vs archive 630 mm/yr eq. (rel Δ 63%) humidity_pct: run 73% vs archive 69% (Δ 3) frost_risk: run 0.000 vs archive 0.019 (Δ 0.019),review,P008,233.965,0.144,low,balanced climate and stress indicators,,62.394,good,,True,10.208,7.53,3.618,,True,0.0,7.708
29.4,0.817,Greece,rules,10.0,0.0,"[""rainfall_mm""]",65.783,10969.0,109690.0,1974.42,Kentriki Makedonia,2024,40.358374,,,,23.958509,13.505,"[""soil_moisture_1_3cm"", ""sand_pct"", ""et0_mm""]",,"[""mean_temp_c: run 13.5 \u00b0C vs archive 18.0 \u00b0C (\u0394 4.5)"", ""rainfall_mm: run 1455 mm/yr eq. vs archive 611 mm/yr eq. (rel \u0394 138%)"", ""humidity_pct: run 66% vs archive 65% (\u0394 1)"", ""frost_risk: run 0.000 vs archive 0.000 (\u0394 0.000)""]",2026-04-04,https://archive-api.open-meteo.com/v1/archive,,"{""mean_temp_c"": 18.006, ""temp_std_c"": 7.409, ""frost_risk"": 0.0, ""rainfall_mm"": 611.342, ""humidity_pct"": 64.8, ""wind_speed_10m_kmh"": 10.029, ""weather_stress_ratio"": 0.0}",True,2023-04-05,Open-Meteo archive (2023-04-05 → 2026-04-04): mean_temp_c: run 13.5 °C vs archive 18.0 °C (Δ 4.5) rainfall_mm: run 1455 mm/yr eq. vs archive 611 mm/yr eq. (rel Δ 138%) humidity_pct: run 66% vs archive 65% (Δ 1) frost_risk: run 0.000 vs archive 0.000 (Δ 0.000),review,P003,1454.89,0.154,low,balanced climate and stress indicators,,60.645,good,,True,6.786,7.08,2.343,,True,0.0,9.529
